ID	Function	Source
N-glycanase_N	PNGase F N-terminal domain-containing protein	PF09112.12
N-glycanase_C	peptide-N-glycosidase F-related protein	PF09113.12
DNApol3-delta_C	DNA polymerase III subunit delta' C-terminal domain-containing protein	PF09115.12
gp45-slide_C	gp45 sliding clamp, C terminal	PF09116.12
MiAMP1	MiAMP1 family antimicrobial peptide	PF09117.12
DUF1930	DUF1930 domain-containing protein	PF09122.12
Endonuc-dimeris	T4 recombination endonuclease VII, dimerisation	PF09124.12
NaeI	NaeI family type II restriction endonuclease	PF09126.12
Leuk-A4-hydro_C	leukotriene A4 hydrolase C-terminal domain-containing protein	PF09127.13
Chol_subst-bind	cholesterol oxidase substrate-binding domain-containing protein	PF09129.13
TruB_C	tRNA Pseudouridine synthase II, C terminal	PF09142.13
DUF1933	DUF1933 domain-containing protein	PF09147.12
DUF1934	DUF1934 family protein	PF09148.12
DUF1935	DUF1935 domain-containing protein	PF09149.12
DUF1937	DUF1937 family protein	PF09152.12
TruB-C_2	tRNA pseudouridine(55) synthase TruB	PF09157.13
DUF1943	DUF1943 domain-containing protein	PF09172.13
DUF1944	DUF1944 domain-containing protein	PF09175.12
TilS	TilS substrate-binding domain-containing protein	PF09179.13
PuR_N	Bacterial purine repressor, N-terminal	PF09182.12
ArabFuran-catal	arabinofuranosidase catalytic domain-containing protein	PF09206.13
Endonuc-MspI	MspI family type II restriction endonuclease	PF09208.12
CecR_C	CerR family C-terminal domain-containing protein	PF09209.13
CBM27	Carbohydrate binding module 27	PF09212.12
Phage-Gp8	Bacteriophage T4, Gp8	PF09215.12
EcoRII-N	EcoRII N-terminal effector-binding domain-containing protein	PF09217.12
ZinT	ZinT/AdcA family metal-binding protein	PF09223.13
Endonuc-PvuII	Restriction endonuclease PvuII	PF09225.12
Prok-TraM	transcriptional repressor TraM	PF09228.12
Endonuc-EcoRV	type II restriction endonuclease	PF09233.13
DUF1963	DUF1963 domain-containing protein	PF09234.12
FCSD-flav_bind	FCSD flavin-binding domain-containing protein	PF09242.13
MA-Mit	superantigen MAM	PF09245.12
DUF1967	DUF1967 domain-containing protein	PF09269.13
Rubis-subs-bind	Rubisco LSMT substrate-binding	PF09273.13
MerR-DNA-bind	MerR family DNA-binding protein	PF09278.13
Taq-exonuc	Taq polymerase, exonuclease	PF09281.12
RhgB_N	rhamnogalacturonan lyase B N-terminal domain-containing protein	PF09284.12
Elong-fact-P_C	Elongation factor P, C-terminal	PF09285.13
RNaseH_C	T4 RNase H, C terminal	PF09293.12
FAA_hydrolase_N	Fumarylacetoacetase N-terminal	PF09298.13
Mu-transpos_C	Mu transposase C-terminal domain-containing protein	PF09299.13
LuxQ-periplasm	LuxQ periplasmic sensor domain-containing protein	PF09308.12
SurA_N	SurA N-terminal domain	PF09312.13
DUF1971	DUF1971 domain-containing protein	PF09313.13
DUF1974	DUF1974 domain-containing protein	PF09317.13
Glyco_trans_A_1	alpha-glucosyltransferase N-terminal domain-containing protein	PF09318.12
DUF1979	DUF1979 domain-containing protein	PF09322.12
DUF1980	DUF1980 domain-containing protein	PF09323.12
NADH_dhqG_C	NADH-ubiquinone oxidoreductase subunit G, C-terminal	PF09326.13
DUF1983	DUF1983 domain-containing protein	PF09327.13
Lact-deh-memb	D-lactate dehydrogenase, membrane binding	PF09330.13
Gly_reductase	glycine/sarcosine/betaine reductase component B subunit	PF09338.13
DUF1986	DUF1986 domain-containing protein	PF09342.13
SiaC	SiaC family regulatory phosphoprotein	PF09345.12
DUF1990	DUF1990 family protein	PF09348.12
DUF1992	DUF1992 domain-containing protein	PF09350.12
DUF1993	DUF1993 family protein	PF09351.12
Phage_Gp19	Gp19/Gp15/Gp42 family protein	PF09355.12
Phage_BR0599	phage BR0599 family protein	PF09356.12
RteC	RteC domain-containing protein	PF09357.12
Phasin_2	phasin family protein	PF09361.12
DUF1996	DUF1996 domain-containing protein	PF09362.12
XFP_C	XFP C-terminal domain	PF09363.12
DUF2461	DUF2461 family protein	PF09365.12
DUF1997	DUF1997 domain-containing protein	PF09366.12
PRANC	PRANC domain-containing protein	PF09372.12
PG_binding_3	putative peptidoglycan-binding domain-containing protein	PF09374.12
Peptidase_M75	imelysin family protein	PF09375.12
HisK_N	histidine kinase N-terminal domain-containing protein	PF09385.12
ParD	Antitoxin ParD	PF09386.12
SpoOE-like	Spo0E family sporulation regulatory protein-aspartic acid phosphatase	PF09388.12
DUF2000	DUF2000 family protein	PF09391.12
DUF2001	phage tail tube protein	PF09393.12
FtsK_gamma	DNA translocase FtsK	PF09397.12
PagL	acyloxyacyl hydrolase	PF09411.12
XendoU	Endoribonuclease XendoU	PF09412.12
DUF2007	DUF2007 domain-containing protein	PF09413.12
DUF2013	DUF2013 domain-containing protein	PF09431.12
DUF2015	DUF2015 domain-containing protein	PF09435.12
DUF2016	DUF2016 domain-containing protein	PF09436.12
DUF2017	DUF2017 family protein	PF09438.12
MmlI	Methylmuconolactone methyl-isomerase	PF09448.12
DUF2019	DUF2019 domain-containing protein	PF09450.12
Yqai	Hypothetical protein Yqai	PF09466.12
Peptidase_M64	M64 family metallopeptidase	PF09471.12
Pilus_CpaD	CpaD family pilus assembly lipoprotein	PF09476.12
CBM49	Carbohydrate binding domain CBM49	PF09478.12
HpaP	type III secretion HpaP family protein	PF09483.12
HrpB7	Bacterial type III secretion protein (HrpB7)	PF09486.12
DUF2389	TIGR02450 family Trp-rich protein	PF09493.12
RE_ApaLI	ApaLI family restriction endonuclease	PF09499.12
YiiD_C	YiiD C-terminal domain-containing protein	PF09500.12
Salt_tol_Pase	glucosylglycerol 3-phosphatase	PF09506.12
Lact_bio_phlase	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase N-terminal domain-containing protein	PF09508.12
Thia_YuaJ	energy-coupled thiamine transporter ThiT	PF09515.12
RE_CfrBI	CfrBI family restriction endonuclease	PF09516.12
RE_HindIII	HindIII family type II restriction endonuclease	PF09518.12
RE_HindVP	HindVP family restriction endonuclease	PF09519.12
RE_NgoPII	NgoPII family restriction endonuclease	PF09521.12
RE_R_Pab1	R.Pab1 family restriction endonuclease	PF09522.12
DUF2390	DUF2390 domain-containing protein	PF09523.12
Phg_2220_C	conserved phage C-terminal domain-containing protein	PF09524.12
Intg_mem_TP0381	YwaF family protein	PF09529.12
DUF2380	DUF2380 domain-containing protein	PF09533.12
Trp_oprn_chp	Trp biosynthesis-associated membrane protein	PF09534.12
Gmx_para_CXXCG	double-CXXCG motif protein	PF09535.12
DUF2378	DUF2378 family protein	PF09536.12
FYDLN_acid	FYDLN acid domain-containing protein	PF09538.12
DUF2385	DUF2385 domain-containing protein	PF09539.12
DUF2379	DUF2379 family protein	PF09543.12
Spore_III_AE	Stage III sporulation protein AE (spore_III_AE)	PF09546.12
Spore_IV_A	Stage IV sporulation protein A (spore_IV_A)	PF09547.12
Spore_III_AB	Stage III sporulation protein AB (spore_III_AB)	PF09548.12
RE_Bpu10I	Bpu10I family restriction endonuclease	PF09549.12
Phage_TAC_6	phage tail assembly chaperone	PF09550.12
Spore_II_R	stage II sporulation protein R	PF09551.12
RE_HaeII	HaeII family restriction endonuclease	PF09554.12
Cas6	type I-MYXAN CRISPR-associated protein Cas6/Cmx6	PF09559.12
Spore_YunB	sporulation protein YunB	PF09560.12
RE_TaqI	TaqI family restriction endonuclease	PF09573.12
Spore_YpjB	sporulation protein YpjB	PF09577.12
Spore_YabQ	spore cortex biosynthesis protein YabQ	PF09578.12
Spore_YhcN_YlaJ	YhcN/YlaJ family sporulation lipoprotein	PF09580.12
Spore_III_AF	stage III sporulation protein AF	PF09581.12
DUF2463	DUF2463 domain-containing protein	PF09591.12
DUF2031	DUF2031 domain-containing protein	PF09592.12
DUF2459	DUF2459 domain-containing protein	PF09601.12
Fib_succ_major	FISUMP domain-containing protein	PF09603.12
BrkDBD	Brinker DNA-binding domain	PF09607.12
Alph_Pro_TM	TIGR02186 family protein	PF09608.12
Cas_GSU0054	CRISPR-associated protein, GSU0054 family (Cas_GSU0054)	PF09609.12
Cas_Csy1	type I-F CRISPR-associated protein Csy1	PF09611.12
HtrL_YibB	WlaTC/HtrL family glycosyltransferase	PF09612.12
HrpB1_HrpK	HrpB1 family type III secretion system apparatus protein	PF09613.12
Cas_Csy2	type I-F CRISPR-associated protein Csy2	PF09614.12
Cas_Csy3	type I-F CRISPR-associated protein Cas7f/Csy3	PF09615.12
Cas_Csy4	type I-F CRISPR-associated endoribonuclease Cas6/Csy4	PF09618.12
YscW	YbaY family lipoprotein	PF09619.12
DHC	Dihaem cytochrome c	PF09626.12
XkdW	XkdW family protein	PF09636.12
YjcQ	YjcQ family protein	PF09639.12
DUF2027	DUF2027 domain-containing protein	PF09640.12
DUF2026	DUF2026 family protein	PF09641.12
YopX	YopX family protein	PF09643.12
PHA_gran_rgn	polyhydroxyalkanoic acid system family protein	PF09650.12
DUF2396	DUF2396 family protein	PF09654.12
Nitr_red_assoc	nitrate reductase associated protein	PF09655.12
PGPGW	PGPGW domain-containing protein	PF09656.12
Cas_Csx8	CRISPR-associated protein Csx8 (Cas_Csx8)	PF09657.12
Cas_Csm6	CRISPR-associated protein (Cas_Csm6)	PF09659.12
DUF2398	DUF2398 family protein	PF09661.12
Phenyl_P_gamma	phenylphosphate carboxylase subunit gamma	PF09662.12
Amido_AtzD_TrzD	ring-opening amidohydrolase	PF09663.12
DUF2399	DUF2399 domain-containing protein	PF09664.12
RE_Alw26IDE	Type II restriction endonuclease (RE_Alw26IDE)	PF09665.12
Phage_pRha	Rha family transcriptional regulator	PF09669.12
Spore_GerQ	spore coat protein GerQ	PF09671.12
TrbC_Ftype	TrbC family F-type conjugative pilus assembly protein	PF09673.12
Chlamy_scaf	Chlamydia-phage Chp2 scaffold (Chlamy_scaf)	PF09675.12
Caa3_CtaG	cytochrome c oxidase assembly protein	PF09678.12
YjcZ_2	sporulation protein YjcZ	PF09680.12
Phage_rep_org_N	phage replisome organizer N-terminal domain-containing protein	PF09681.12
Phage_holin_6_1	phage holin, LLH family	PF09682.12
Lactococcin_972	lactococcin 972 family bacteriocin	PF09683.12
Phage_XkdX	XkdX family protein	PF09693.12
Gcw_chp	Bacterial protein of unknown function (Gcw_chp)	PF09694.12
Porph_ging	Protein of unknown function (Porph_ging)	PF09697.12
GSu_C4xC__C2xCH	CxxxxCH/CxxCH domain-containing protein	PF09698.12
Paired_CXXCH_1	cytochrome c3 family protein	PF09699.12
Cas_Csn2	CRISPR-associated protein (Cas_Csn2)	PF09711.12
Tape_meas_lam_C	phage tail tape measure C-terminal domain-containing protein	PF09718.12
DUF2384	DUF2384 domain-containing protein	PF09722.12
DUF2043	DUF2043 domain-containing protein	PF09740.11
HVSL	Uncharacterised conserved protein	PF09749.11
Nt_Gln_amidase	N-terminal glutamine amidase	PF09764.11
Oxidored-like	oxidoreductase-like domain-containing protein	PF09791.11
ATP_transf	ATP adenylyltransferase C-terminal domain	PF09830.11
DUF2058	DUF2058 family protein	PF09831.11
DUF2059	DUF2059 domain-containing protein	PF09832.11
DUF2063	putative DNA-binding domain-containing protein	PF09836.11
DUF2065	DUF2065 family protein	PF09838.11
DUF2066	DUF2066 domain-containing protein	PF09839.11
DUF2069	DUF2069 domain-containing protein	PF09842.11
DUF2076	DUF2076 family protein	PF09849.11
DotU	DotU family type IV/VI secretion system protein	PF09850.11
ScfRs	short-chain fatty acyl-CoA regulator family protein	PF09856.11
Oxygenase-NA	2OG-Fe(II) oxygenase	PF09859.11
DUF2090	DUF2090 domain-containing protein	PF09863.11
MliC	MliC family protein	PF09864.11
DUF2093	DUF2093 domain-containing protein	PF09866.11
TagF_N	TagF domain-containing protein	PF09867.11
DUF2125	DUF2125 domain-containing protein	PF09898.11
DUF2126	transglutaminase family protein	PF09899.11
VF530	VF530 family DNA-binding protein	PF09905.11
DUF2135	DUF2135 domain-containing protein	PF09906.11
DUF2140	DUF2140 family protein	PF09911.11
DUF2141	DUF2141 domain-containing protein	PF09912.11
DUF2145	DUF2145 domain-containing protein	PF09916.11
DUF2147	DUF2147 domain-containing protein	PF09917.11
DUF2155	DUF2155 domain-containing protein	PF09923.11
DUF2160	DUF2160 family membrane protein	PF09928.11
DUF2163	DUF2163 domain-containing protein	PF09931.11
DUF2164	DUF2164 family protein	PF09932.11
DUF2165	DUF2165 family protein	PF09933.11
DUF2167	DUF2167 domain-containing protein	PF09935.11
DUF2169	DUF2169 domain-containing protein	PF09937.11
DUF2177	DUF2177 family protein	PF09945.11
DUF2183	DUF2183 domain-containing protein	PF09949.11
DUF2184	DUF2184 domain-containing protein	PF09950.11
DUF2189	DUF2189 domain-containing protein	PF09955.11
DUF2194	DUF2194 domain-containing protein	PF09960.11
DUF2197	DUF2197 domain-containing protein	PF09963.11
DUF2198	DUF2198 family protein	PF09964.11
DUF2199	DUF2199 domain-containing protein	PF09965.11
DUF2200	DUF2200 family protein	PF09966.11
DUF2218	DUF2218 domain-containing protein	PF09981.11
DUF2219	DUF2219 family protein	PF09982.11
DUF2231	DUF2231 domain-containing protein	PF09990.11
DUF2232	DUF2232 domain-containing protein	PF09991.11
DUF2235	DUF2235 domain-containing protein	PF09994.11
MPAB_Lcp_cat	oxygenase MpaB family protein	PF09995.11
DUF2238	DUF2238 domain-containing protein	PF09997.11
DUF2239	DUF2239 family protein	PF09998.11
DUF2242	DUF2242 domain-containing protein	PF10001.11
DUF2244	DUF2244 domain-containing protein	PF10003.11
DUF2247	DUF2247 family protein	PF10004.11
zinc-ribbon_6	zinc-ribbon domain-containing protein	PF10005.11
DUF2251	DUF2251 domain-containing protein	PF10008.11
DUF2256	DUF2256 domain-containing protein	PF10013.11
2OG-Fe_Oxy_2	2OG-Fe dioxygenase family protein	PF10014.11
DUF2259	DUF2259 domain-containing protein	PF10016.11
DUF2263	DUF2263 domain-containing protein	PF10021.11
Aminopep	aminopeptidase	PF10023.11
DUF2271	DUF2271 domain-containing protein	PF10029.11
DUF2273	DUF2273 domain-containing protein	PF10031.11
DUF2179	DUF2179 domain-containing protein	PF10035.11
DUF2274	DUF2274 domain-containing protein	PF10038.11
DUF2275	DUF2275 domain-containing protein	PF10039.11
DUF2277	DUF2277 family protein	PF10041.11
DUF2279	DUF2279 domain-containing protein	PF10043.11
DUF2280	DUF2280 domain-containing protein	PF10045.11
BLOC1_2	Biogenesis of lysosome-related organelles complex-1 subunit 2	PF10046.11
DUF2282	DUF2282 domain-containing protein	PF10048.11
DUF2288	DUF2288 family protein	PF10052.11
DUF2291	DUF2291 family protein	PF10054.11
DUF2292	DUF2292 domain-containing protein	PF10055.11
DUF2293	DUF2293 domain-containing protein	PF10056.11
MpsC	Na-translocating system protein MpsC family protein	PF10057.11
DUF2301	DUF2301 domain-containing membrane protein	PF10063.11
DUF2303	DUF2303 family protein	PF10065.11
DUF2310	DUF2310 family Zn-ribbon-containing protein	PF10071.11
DUF2312	DUF2312 domain-containing protein	PF10073.11
DUF2285	DUF2285 domain-containing protein	PF10074.11
DUF2313	DUF2313 domain-containing protein	PF10076.11
DUF2314	DUF2314 domain-containing protein	PF10077.11
Abhydrolase_9	alpha/beta-hydrolase family protein	PF10081.11
BBP2_2	outer membrane beta-barrel protein	PF10082.11
DUF2322	DUF2322 family protein	PF10084.11
DUF2325	DUF2325 domain-containing protein	PF10087.11
EarP	elongation factor P maturation arginine rhamnosyltransferase EarP	PF10093.11
DUF2333	DUF2333 family protein	PF10095.11
DUF2335	DUF2335 domain-containing protein	PF10097.11
DUF2336	DUF2336 domain-containing protein	PF10098.11
Staph_opine_DH	opine metallophore biosynthesis dehydrogenase	PF10100.11
DUF2344	DUF2344 domain-containing protein	PF10105.11
DUF2345	DUF2345 domain-containing protein	PF10106.11
Phage_TAC_7	phage tail assembly protein	PF10109.11
Halogen_Hydrol	5-bromo-4-chloroindolyl phosphate hydrolysis family protein	PF10112.11
HlyU	HlyU family transcriptional regulator	PF10115.11
Host_attach	host attachment protein	PF10116.11
Metal_hydrol	metal-dependent hydrolase	PF10118.11
MethyTransf_Reg	methyltransferase regulatory domain-containing protein	PF10119.11
Mu-like_Com	Com family DNA-binding transcriptional regulator	PF10122.11
OpcA_G6PD_assem	glucose-6-phosphate dehydrogenase assembly protein OpcA	PF10128.11
RPA	replication initiator protein A	PF10134.11
Rod-binding	rod-binding protein	PF10135.11
SpecificRecomb	Site-specific recombinase	PF10136.11
vWA-TerF-like	VWA domain-containing protein	PF10138.11
Virul_Fac	virulence factor SrfC family protein	PF10139.11
ssDNA-exonuc_C	single-stranded-DNA-specific exonuclease C-terminal domain-containing protein	PF10141.11
PhoPQ_related	PhoPQ-activated protein PqaA family protein	PF10142.11
Mit_KHE1	Mitochondrial K+-H+ exchange-related	PF10173.11
DUF2371	DUF2371 domain-containing protein	PF10177.11
NDNF	fibronectin domain-containing protein	PF10179.11
DUF2358	DUF2358 domain-containing protein	PF10184.11
MRP-S28	Mitochondrial ribosomal subunit protein	PF10213.11
ChpXY	CO2 hydration protein	PF10216.11
DUF2181	DUF2181 domain-containing protein	PF10223.11
DUF2228	DUF2228 domain-containing protein	PF10228.11
MMADHC	methylmalonic aciduria and homocystinuria type D protein	PF10229.11
DAP3	Mitochondrial ribosomal death-associated protein 3	PF10236.11
N6-adenineMlase	Probable N6-adenine methyltransferase	PF10237.11
DUF2464	multivesicular body subunit 12	PF10240.11
O-FucT	GDP-fucose protein O-fucosyltransferase	PF10250.11
Tmemb_185A	Transmembrane Fragile-X-F protein	PF10269.11
Peptidase_C65	Peptidase C65 Otubain	PF10275.11
zf-CHCC	zinc-finger domain-containing protein	PF10276.11
DUF2401	Putative TOS1-like glycosyl hydrolase (DUF2401)	PF10287.11
DUF2403	DUF2403 domain-containing protein	PF10290.11
WhiA_N	WhiA N-terminal LAGLIDADG-like domain	PF10298.11
DUF2417	DUF2417 domain-containing protein	PF10329.11
DUF2427	DUF2427 domain-containing protein	PF10348.11
NKWYS	putative capsular polysaccharide synthesis family protein	PF10364.11
YkyA	YkyA family protein	PF10368.11
EKR	Domain of unknown function	PF10371.11
YojJ	YojJ domain-containing protein	PF10372.11
RNA_pol_Rpb2_45	RNA polymerase beta subunit external 1 domain	PF10385.11
DUF2441	DUF2441 domain-containing protein	PF10386.11
DUF2442	DUF2442 domain-containing protein	PF10387.11
YkuI_C	EAL-associated domain-containing protein	PF10388.11
TrmE_N	GTP-binding protein TrmE N-terminus	PF10396.11
UCR_Fe-S_N	ubiquinol-cytochrome c reductase iron-sulfur subunit N-terminal domain-containing protein	PF10399.11
DnaB_bind	DnaB-helicase binding domain of primase	PF10410.11
DsbC_N	disulfide isomerase DsbC N-terminal domain-containing protein	PF10411.11
CysG_dimeriser	Sirohaem synthase dimerisation region	PF10414.11
AMNp_N	Bacterial AMP nucleoside phosphorylase N-terminus	PF10423.11
Bacteriocin_IIc	Blp family class II bacteriocin	PF10439.11
Val_tRNA-synt_C	Valyl tRNA synthetase tRNA binding arm	PF10458.11
Peptidase_S46	S46 family peptidase	PF10459.11
Peptidase_U49	phage exclusion protein Lit family protein	PF10463.11
DUF2452	DUF2452 domain-containing protein	PF10504.11
Lipid_desat	fatty acid desaturase CarF family protein	PF10520.11
P63C	P63C domain-containing protein	PF10546.11
P22_AR_N	phage antirepressor N-terminal domain-containing protein	PF10547.11
ORF6C	ORF6C domain-containing protein	PF10552.11
CA_like	delta-class carbonic anhydrase	PF10563.11
Tom37	Tom37 metaxin N-terminal-like domain-containing protein	PF10568.11
UPF0560	Uncharacterised protein family UPF0560	PF10577.11
PNP_phzG_C	pyridoxine 5'-phosphate oxidase C-terminal domain-containing protein	PF10590.11
SPARC_Ca_bdg	Secreted protein acidic and rich in cysteine Ca binding region	PF10591.11
3HBOH	3-hydroxybutyrate oligomer hydrolase family protein	PF10605.11
DUF2469	DUF2469 family protein	PF10611.11
CsgF	curli assembly protein CsgF	PF10614.11
DUF2470	DUF2470 domain-containing protein	PF10615.11
DUF2474	DUF2474 family protein	PF10617.11
Tail_tube	phage tail tube protein	PF10618.11
MdcG	malonate decarboxylase holo-[acyl-carrier-protein] synthase	PF10620.11
TraO	conjugal transfer protein TraO	PF10626.11
CsgE	CsgE family curli-type amyloid fiber assembly protein	PF10627.11
CotE	outer spore coat protein CotE	PF10628.11
DUF2477	DUF2477 domain-containing protein	PF10631.11
DisA-linker	DisA bacterial checkpoint controller linker region	PF10635.11
hemP	hemin uptake protein HemP	PF10636.11
Ofd1_CTDD	Oxoglutarate and iron-dependent oxygenase degradation C-term	PF10637.11
Cytochrome-c551	photosystem P840 reaction-center cytochrome c-551	PF10643.11
Germane	GerMN domain-containing protein	PF10646.11
BppU_N	BppU family phage baseplate upper protein	PF10651.11
DUF2480	DUF2480 family protein	PF10652.11
Minor_capsid_1	putative minor capsid protein	PF10665.11
TcpQ	TcpQ domain-containing protein	PF10671.11
DUF2487	DUF2487 family protein	PF10673.11
DUF2489	DUF2489 domain-containing protein	PF10675.11
gerPA	spore germination protein	PF10676.11
DUF2490	DUF2490 domain-containing protein	PF10677.11
DUF2492	DUF2492 family protein	PF10678.11
KGG	KGG domain-containing protein	PF10685.11
Imp-YgjV	YgjV family protein	PF10688.11
DUF2497	DUF2497 domain-containing protein	PF10691.11
DUF2499	DUF2499 domain-containing protein	PF10693.11
DUF2500	DUF2500 family protein	PF10694.11
DUF2505	DUF2505 family protein	PF10698.11
MoaF	MoaF N-terminal domain-containing protein	PF10703.11
DUF2508	DUF2508 family protein	PF10704.11
Aminoglyc_resit	nucleotidyltransferase domain-containing protein	PF10706.11
YrbL-PhoP_reg	YrbL family protein	PF10707.11
DUF2510	DUF2510 domain-containing protein	PF10708.11
ComFB	late competence development ComFB family protein	PF10719.11
DUF2515	DUF2515 family protein	PF10720.11
DUF2516	DUF2516 family protein	PF10724.11
DUF2520	DUF2520 domain-containing protein	PF10728.11
DUF2523	DUF2523 family protein	PF10734.11
GerPC	spore germination protein GerPC	PF10737.11
DUF2529	DUF2529 family protein	PF10740.11
T2SSM_b	GspMb/PilO family protein	PF10741.11
DUF2530	DUF2530 domain-containing protein	PF10745.11
Phage_holin_2_2	Phage holin T7 family, holin superfamily II	PF10746.11
SirA	sporulation inhibitor of replication protein SirA	PF10747.11
DUF2536	DUF2536 family protein	PF10750.11
DUF2569	DUF2569 family protein	PF10754.11
DUF2585	DUF2585 family protein	PF10755.11
DUF2586	DUF2586 family protein	PF10758.11
DUF2587	DUF2587 domain-containing protein	PF10759.11
DUF2590	DUF2590 family protein	PF10761.11
DUF2583	DUF2583 family protein	PF10762.11
FliX	flagellar assembly protein FliX	PF10768.11
DUF2597	DUF2597 family protein	PF10772.11
DUF2600	DUF2600 family protein	PF10776.11
XhlA	hemolysin XhlA family protein	PF10779.11
DUF2599	DUF2599 domain-containing protein	PF10783.11
G6PD_bact	HI_0552 family protein	PF10786.11
Phage_RpbA	RNA polymerase-binding protein RpbA	PF10789.11
YhfT	YhfT family protein	PF10797.11
DUF2528	DUF2528 family protein	PF10800.10
GerPB	spore germination protein GerPB	PF10803.10
DUF2730	DUF2730 family protein	PF10805.10
DUF2561	DUF2561 family protein	PF10812.10
DUF2760	DUF2760 domain-containing protein	PF10816.10
DUF2547	DUF2547 family protein	PF10818.10
DUF2564	DUF2564 family protein	PF10819.10
DUF2567	DUF2567 domain-containing protein	PF10821.10
T7SS_ESX_EspC	type VII secretion target	PF10824.10
DUF2752	DUF2752 domain-containing protein	PF10825.10
DUF2552	DUF2552 family protein	PF10827.10
DUF2553	DUF2553 family protein	PF10830.10
DUF2556	DUF2556 family protein	PF10831.10
DUF2573	DUF2573 family protein	PF10835.10
DUF2642	DUF2642 domain-containing protein	PF10842.10
RGI1	respiratory growth induced protein 1	PF10843.10
DUF2577	DUF2577 family protein	PF10844.10
DUF2576	DUF2576 domain-containing protein	PF10845.10
DUF2722	DUF2722 domain-containing protein	PF10846.10
DUF2654	DUF2654 domain-containing protein	PF10849.10
DUF2653	DUF2653 family protein	PF10850.10
DUF2652	DUF2652 domain-containing protein	PF10851.10
DUF2784	DUF2784 family protein	PF10861.10
FcoT	FcoT family thioesterase	PF10862.10
DUF2704	DUF2704 domain-containing protein	PF10866.10
DUF2664	DUF2664 domain-containing protein	PF10867.10
DUF2746	DUF2746 domain-containing protein	PF10874.10
Phage_TAC_9	putative phage tail assembly chaperone	PF10876.10
DUF2672	DUF2672 domain-containing protein	PF10878.10
DUF2726	DUF2726 domain-containing protein	PF10881.10
DUF2685	DUF2685 domain-containing protein	PF10886.10
DUF2688	DUF2688 domain-containing protein	PF10892.10
DUF2715	DUF2715 domain-containing protein	PF10895.10
DUF2714	DUF2714 domain-containing protein	PF10896.10
DUF2716	DUF2716 domain-containing protein	PF10898.10
DUF2690	DUF2690 domain-containing protein	PF10901.10
WYL_2	SH3 beta-barrel fold-containing protein	PF10902.10
DUF2691	DUF2691 family protein	PF10903.10
DUF2695	DUF2695 domain-containing protein	PF10905.10
DUF2749	DUF2749 domain-containing protein	PF10907.10
DUF2778	DUF2778 domain-containing protein	PF10908.10
DUF2717	DUF2717 domain-containing protein	PF10911.10
DUF2705	DUF2705 family protein	PF10920.10
DUF2745	DUF2745 domain-containing protein	PF10922.10
DUF2711	DUF2711 family protein	PF10924.10
DUF2680	DUF2680 domain-containing protein	PF10925.10
DUF2783	DUF2783 domain-containing protein	PF10932.10
DUF2827	DUF2827 family protein	PF10933.10
DUF2631	DUF2631 domain-containing protein	PF10939.10
DUF2620	DUF2620 family protein	PF10941.10
DUF2630	DUF2630 family protein	PF10944.10
DUF2625	DUF2625 family protein	PF10946.10
DUF2628	DUF2628 domain-containing protein	PF10947.10
DUF2635	DUF2635 domain-containing protein	PF10948.10
Organ_specific	organ-specific protein	PF10950.10
DUF2776	DUF2776 family protein	PF10951.10
DUF2757	DUF2757 family protein	PF10955.10
DUF2761	DUF2761 domain-containing protein	PF10959.10
Holin_BhlA	BhlA/UviB family holin-like peptide	PF10960.10
SelK_SelG	SelK/SelG family selenoprotein	PF10961.10
DUF2764	DUF2764 family protein	PF10962.10
Phage_TAC_10	putative phage tail assembly chaperone	PF10963.10
DUF2768	DUF2768 family protein	PF10966.10
GerPE	spore germination protein GerPE	PF10970.10
CsiV	CsiV family protein	PF10972.10
DUF2802	DUF2802 domain-containing protein	PF10975.10
DUF2785	DUF2785 domain-containing protein	PF10978.10
DUF2787	DUF2787 family protein	PF10980.10
DUF2789	DUF2789 family protein	PF10982.10
DUF2794	DUF2794 domain-containing protein	PF10984.10
DUF2805	DUF2805 domain-containing protein	PF10985.10
DUF2796	DUF2796 domain-containing protein	PF10986.10
DUF2806	DUF2806 domain-containing protein	PF10987.10
DUF2809	DUF2809 domain-containing protein	PF10990.10
DUF2815	DUF2815 family protein	PF10991.10
DUF2818	DUF2818 family protein	PF10993.10
DUF2817	DUF2817 domain-containing protein	PF10994.10
Amj	DUF2837 family protein	PF10997.10
DUF2839	DUF2839 family protein	PF10999.10
DUF2840	DUF2840 domain-containing protein	PF11000.10
DUF2842	DUF2842 domain-containing protein	PF11003.10
Kdo_hydroxy	Kdo hydroxylase family protein	PF11004.10
DUF2844	DUF2844 domain-containing protein	PF11005.10
DUF2845	DUF2845 domain-containing protein	PF11006.10
DUF2846	DUF2846 domain-containing protein	PF11008.10
DUF2847	DUF2847 family protein	PF11009.10
DUF2849	DUF2849 domain-containing protein	PF11011.10
DUF2851	DUF2851 family protein	PF11013.10
DUF2852	DUF2852 domain-containing protein	PF11014.10
DUF2853	DUF2853 family protein	PF11015.10
DUF2854	DUF2854 domain-containing protein	PF11016.10
DUF2855	DUF2855 family protein	PF11017.10
DUF2608	DUF2608 domain-containing protein	PF11019.10
DUF2610	DUF2610 domain-containing protein	PF11020.10
ATP19	ATP synthase subunit K family protein	PF11022.10
DUF2615	DUF2615 domain-containing protein	PF11027.10
