L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG14809	Hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG14810	Tail completion protein p143		COMPL_BPT5
Function unknown	VOG14811	Hypothetical protein		
Function unknown	VOG14812	Hypothetical protein		
Function unknown	VOG14813	Hypothetical protein		
Function unknown	VOG14814	Hypothetical protein		
Function unknown	VOG14815	Hypothetical protein		
Function unknown	VOG14816	Hypothetical protein		
Function unknown	VOG14817	Hypothetical protein		
Function unknown	VOG14818	Hypothetical protein		
Function unknown	VOG14819	Hypothetical protein		
Function unknown	VOG14820	Hypothetical protein		
Function unknown	VOG14821	Hypothetical protein		
Function unknown	VOG14822	Hypothetical protein		
Function unknown	VOG14823	Hypothetical protein		
Function unknown	VOG14824	Hypothetical protein		
Function unknown	VOG14825	Hypothetical protein		
Virus protein with function beneficial for the host	VOG14826	Bactoprenol glucosyl transferase		GTRB_BPSF5
Function unknown	VOG14827	Hypothetical protein		
Function unknown	VOG14828	Hypothetical protein		
Function unknown	VOG14829	Hypothetical protein		
Function unknown	VOG14830	Hypothetical protein 1		
Function unknown	VOG14831	Hypothetical protein		
Function unknown	VOG14832	Hypothetical protein		
Function unknown	VOG14833	Hypothetical protein		
Function unknown	VOG14834	Hypothetical protein		
Function unknown	VOG14835	Hypothetical protein		
Virus protein with function beneficial for the host	VOG14836	Killing protein KilR		KILR_ECOLI
Function unknown	VOG14837	Hypothetical protein		
Function unknown	VOG14838	Hypothetical protein		
Function unknown	VOG14839	Protein of unknown function DUF2800		
Function unknown	VOG14840	Minor tail protein		
Function unknown	VOG14841	Hypothetical protein		
Function unknown	VOG14842	Hypothetical protein		
Function unknown	VOG14843	Hypothetical protein		
Function unknown	VOG14844	Hypothetical protein		
Function unknown	VOG14845	Gp48		
Function unknown	VOG14846	Polyketide cyclase		
Function unknown	VOG14847	Putative ORFan		
Function unknown	VOG14848	Hypothetical protein		
Function unknown	VOG14849	Hypothetical protein		
Function unknown	VOG14850	Hypothetical protein		
Function unknown	VOG14851	Hypothetical protein		
Function unknown	VOG14852	Hypothetical protein		
Function unknown	VOG14853	Hypothetical protein		
Function unknown	VOG14854	Hypothetical protein		
Function unknown	VOG14855	Hypothetical protein		
Function unknown	VOG14856	Envelope and capsid protein		
Function unknown	VOG14857	Hypothetical protein		
Function unknown	VOG14858	Hypothetical protein		
Function unknown	VOG14859	G protein-coupled receptor-4B		
Function unknown	VOG14860	Hypothetical protein		
Function unknown	VOG14861	Hypothetical protein		
Function unknown	VOG14862	Hypothetical protein		
Function unknown	VOG14863	Hypothetical protein		
Function unknown	VOG14864	Baseplate hub subunit and tail lysozyme		
Function unknown	VOG14865	Hypothetical protein		
Function unknown	VOG14866	Uncharacterized protein R626		YR626_MIMIV
Function unknown	VOG14867	Hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG14868	Straight fiber protein pb4		FIBC_BPT5
Function unknown	VOG14869	Hypothetical protein		
Function unknown	VOG14870	Hypothetical protein		
Function unknown	VOG14871	Hypothetical protein		
Function unknown	VOG14872	GrBNV_gp61-like protein		
Function unknown	VOG14873	Hypothetical protein		
Function unknown	VOG14874	Hypothetical protein		
Function unknown	VOG14875	Hypothetical protein		
Function unknown	VOG14876	Hypothetical protein		
Function unknown	VOG14877	Hypothetical protein		
Function unknown	VOG14878	Hypothetical protein		
Function unknown	VOG14879	Hypothetical protein		
Function unknown	VOG14880	VP10		
Virus protein with function beneficial for the host | Virus structure	VOG14881	Capsid scaffolding protein		SCAF_SCMVC
Function unknown	VOG14882	Gp22, hypothetical protein		
Function unknown	VOG14883	Hypothetical protein		
Function unknown	VOG14884	Hypothetical protein		
Function unknown	VOG14885	Hypothetical protein		
Function unknown	VOG14886	Hypothetical protein		
Function unknown	VOG14887	Hypothetical protein		
Function unknown	VOG14888	Hypothetical protein		
Function unknown	VOG14889	Hypothetical protein		
Function unknown	VOG14890	Hypothetical protein		
Virus structure	VOG14891	Major envelope protein		P9_BPPH6
Function unknown	VOG14892	Membrane protein		
Function unknown	VOG14893	Hypothetical protein		
Function unknown	VOG14894	Hypothetical protein		
Function unknown	VOG14895	Hypothetical protein		
Function unknown	VOG14896	Hypothetical protein		
Function unknown	VOG14897	Hypothetical protein		
Function unknown	VOG14898	Hypothetical protein		
Function unknown	VOG14899	Putative protease		
Function unknown	VOG14900	Hypothetical protein		
Function unknown	VOG14901	Hypothetical protein		
Function unknown	VOG14902	Unknown similar to AMEV011		
Function unknown	VOG14903	Hypothetical protein		
Function unknown	VOG14904	Taurine catabolism dioxygenase		
Function unknown	VOG14905	Hypothetical protein		
Function unknown	VOG14906	Membrane protein		
Function unknown	VOG14907	Hypothetical protein		
Function unknown	VOG14908	Hypothetical protein		
Function unknown	VOG14909	Hypothetical protein		
Function unknown	VOG14910	Hypothetical protein		
Function unknown	VOG14911	Hypothetical protein		
Function unknown	VOG14912	Hypothetical protein		
Function unknown	VOG14913	Hypothetical protein		
Virus protein with function beneficial for the host	VOG14914	Protein Tra		TRA_STRLI
Function unknown	VOG14915	Hypothetical protein		
Function unknown	VOG14916	Hypothetical protein		
Function unknown	VOG14917	Hypothetical protein		
Function unknown	VOG14918	Hypothetical protein		
Function unknown	VOG14919	Hypothetical protein		
Function unknown	VOG14920	Hypothetical protein		
Function unknown	VOG14921	Hypothetical protein		
Function unknown	VOG14922	Hypothetical protein		
Function unknown	VOG14923	Hypothetical protein		
Function unknown	VOG14924	Hypothetical protein		
Function unknown	VOG14925	Hypothetical protein		
Function unknown	VOG14926	Hypothetical protein		
Function unknown	VOG14927	Hypothetical protein		
Function unknown	VOG14928	Hypothetical protein		
Function unknown	VOG14929	Hypothetical protein		
Function unknown	VOG14930	Putative orfan		
Function unknown	VOG14931	Hypothetical protein		
Function unknown	VOG14932	Hypothetical protein		
Function unknown	VOG14933	Hypothetical protein		
Function unknown	VOG14934	Hypothetical protein		
Function unknown	VOG14935	Hypothetical protein		
Function unknown	VOG14936	Adenine phosphoribosyl transferase		
Function unknown	VOG14937	Hypothetical protein		
Function unknown	VOG14938	Non-structural protein 3d		NS3D_BCHK4
Function unknown	VOG14939	Hypothetical protein		
Function unknown	VOG14940	Transposase		
Function unknown	VOG14941	Hypothetical protein		
Function unknown	VOG14942	Hypothetical protein		
Function unknown	VOG14943	Hypothetical protein		
Function unknown	VOG14944	Hypothetical protein		
Function unknown	VOG14945	Hypothetical protein		
Function unknown	VOG14946	Hypothetical protein		
Function unknown	VOG14947	Hypothetical protein		
Function unknown	VOG14948	Hypothetical protein		
Function unknown	VOG14949	Hypothetical protein		
Function unknown	VOG14950	Hypothetical protein		
Function unknown	VOG14951	Hypothetical protein		
Function unknown	VOG14952	Hypothetical protein		
Function unknown	VOG14953	Hypothetical protein		
Function unknown	VOG14954	Hypothetical protein		
Function unknown	VOG14955	RusA-like Holliday junction resolvase		
Function unknown	VOG14956	Hypothetical protein		
Function unknown	VOG14957	Hypothetical protein		
Function unknown	VOG14958	Hypothetical protein		
Function unknown	VOG14959	Non-structural protein 1		VNS1_AQRVG
Function unknown	VOG14960	Hypothetical protein		
Function unknown	VOG14961	Hypothetical protein		
Function unknown	VOG14962	Hypothetical protein		
Function unknown	VOG14963	Hypothetical protein 2		
Function unknown	VOG14964	Hypothetical protein		
Function unknown	VOG14965	Hypothetical protein		
Function unknown	VOG14966	Hypothetical protein		
Function unknown	VOG14967	Hypothetical protein		
Function unknown	VOG14968	Hypothetical protein		
Function unknown	VOG14969	Putative transmembrane protein ORF103		Y103_OSHVF
Function unknown	VOG14970	Hypothetical protein		
Function unknown	VOG14971	Hypothetical protein		
Function unknown	VOG14972	Membrane protein		
Function unknown	VOG14973	Hypothetical protein		
Function unknown	VOG14974	Hypothetical protein		
Function unknown	VOG14975	Hypothetical protein		
Function unknown	VOG14976	Hypothetical protein		
Function unknown	VOG14977	Hypothetical protein		
Function unknown	VOG14978	Hypothetical protein		
Function unknown	VOG14979	Hypothetical protein		
Function unknown	VOG14980	Hypothetical protein		
Function unknown	VOG14981	Hypothetical protein		
Function unknown	VOG14982	Hypothetical protein		
Function unknown	VOG14983	Hypothetical protein		
Function unknown	VOG14984	Hypothetical protein		
Function unknown	VOG14985	Hypothetical protein		
Function unknown	VOG14986	Hypothetical protein		
Function unknown	VOG14987	Hypothetical protein		
Function unknown	VOG14988	Hypothetical protein		
Function unknown	VOG14989	Hypothetical protein		
Virus replication | Virus structure	VOG14990	Phosphoprotein		PHOSP_TIBVC
Virus protein with function beneficial for the host | Virus structure	VOG14991	RNA polymerase-associated transcription-specificity factor RAP94		RAP94_VACCW
Function unknown	VOG14992	EsV-1-172		
Function unknown	VOG14993	Virion structural protein		
Function unknown	VOG14994	Hypothetical protein		
Function unknown	VOG14995	Hypothetical protein		
Function unknown	VOG14996	Hypothetical protein		
Function unknown	VOG14997	Hypothetical protein		
Function unknown	VOG14998	Hypothetical protein		
Function unknown	VOG14999	Hypothetical protein		
Function unknown	VOG15000	Hypothetical protein		
Function unknown	VOG15001	Hypothetical protein		
Function unknown	VOG15002	Hypothetical protein		
Function unknown	VOG15003	Hypothetical protein		
Function unknown	VOG15004	Hypothetical protein		
Function unknown	VOG15005	Hypothetical protein		
Function unknown	VOG15006	Hypothetical protein		
Function unknown	VOG15007	Hypothetical protein		
Function unknown	VOG15008	Hypothetical protein		
Function unknown	VOG15009	Head protein		
Function unknown	VOG15010	Hypothetical protein		
Function unknown	VOG15011	Hypothetical protein		
Function unknown	VOG15012	Hypothetical protein		
Function unknown	VOG15013	Hypothetical protein		
Function unknown	VOG15014	Hypothetical protein		
Function unknown	VOG15015	Hypothetical protein		
Function unknown	VOG15016	Hypothetical protein		
Function unknown	VOG15017	Uncharacterized protein 3R		003R_FRG3G
Function unknown	VOG15018	Gp0.5		
Function unknown	VOG15019	Hypothetical protein		
Function unknown	VOG15020	Hypothetical protein		
Function unknown	VOG15021	Hypothetical protein		
Function unknown	VOG15022	Hypothetical protein		
Function unknown	VOG15023	Hypothetical protein		
Function unknown	VOG15024	Hypothetical protein		
Function unknown	VOG15025	Hypothetical protein		
Function unknown	VOG15026	Coil containing protein		
Function unknown	VOG15027	Hypothetical protein		
Function unknown	VOG15028	Hypothetical protein		
Function unknown	VOG15029	Hypothetical protein		
Function unknown	VOG15030	Non-structural protein of 12.7 kDa		NS12_CVMJH
Function unknown	VOG15031	Hypothetical protein		
Function unknown	VOG15032	Hypothetical protein		
Function unknown	VOG15033	Hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG15034	DNA primase TraC		TRAC4_ECOLX
Function unknown	VOG15035	Hypothetical protein		
Function unknown	VOG15036	Hypothetical protein		
Function unknown	VOG15037	Virion structural protein		
Function unknown	VOG15038	Hypothetical protein		
Function unknown	VOG15039	Uncharacterized protein L590		YL590_MIMIV
Function unknown	VOG15040	Hypothetical protein		
Function unknown	VOG15041	Hypothetical protein		
Function unknown	VOG15042	Hypothetical protein		
Function unknown	VOG15043	Hypothetical protein		
Function unknown	VOG15044	Hypothetical protein		
Function unknown	VOG15045	Hypothetical protein		
Function unknown	VOG15046	Hypothetical protein		
Function unknown	VOG15047	Mu Gam-like end protection		
Function unknown	VOG15048	Hypothetical protein		
Function unknown	VOG15049	Hypothetical protein		
Function unknown	VOG15050	ORF III		
Function unknown	VOG15051	Hypothetical protein		
Function unknown	VOG15052	Hypothetical protein		
Function unknown	VOG15053	Hypothetical protein		
Function unknown	VOG15054	Hypothetical protein		
Virus protein with function beneficial for the host	VOG15055	ATP-dependent DNA helicase uvsW		UVSW_BPT4
Function unknown	VOG15056	Hypothetical protein		
Function unknown	VOG15057	Hypothetical protein		
Function unknown	VOG15058	Hypothetical protein		
Function unknown	VOG15059	Hypothetical protein		
Function unknown	VOG15060	Hypothetical protein		
Function unknown	VOG15061	Hypothetical protein		
Function unknown	VOG15062	Hypothetical protein		
Function unknown	VOG15063	Hypothetical protein		
Function unknown	VOG15064	Hypothetical protein		
Function unknown	VOG15065	Hypothetical protein		
Function unknown	VOG15066	Hypothetical protein		
Function unknown	VOG15067	Hypothetical protein		
Function unknown	VOG15068	Hypothetical protein		
Function unknown	VOG15069	Hypothetical protein		
Function unknown	VOG15070	Hypothetical protein		
Function unknown	VOG15071	Hypothetical protein		
Function unknown	VOG15072	Hypothetical protein		
Function unknown	VOG15073	Hypothetical protein		
Function unknown	VOG15074	Hypothetical protein		
Function unknown	VOG15075	Hypothetical protein		
Function unknown	VOG15076	Transfer protein		
Function unknown	VOG15077	Hypothetical protein		
Function unknown	VOG15078	Hypothetical protein		
Function unknown	VOG15079	Ankyrin repeat domain containing protein		
Function unknown	VOG15080	Endonuclease		
Function unknown	VOG15081	Hypothetical protein		
Function unknown	VOG15082	Hypothetical protein		
Function unknown	VOG15083	Hypothetical protein		
Function unknown	VOG15084	Terminase A protein		PACA_BPP1
Function unknown	VOG15085	Hypothetical protein		
Function unknown	VOG15086	Hypothetical protein		
Function unknown	VOG15087	Hypothetical protein		
Function unknown	VOG15088	Hypothetical protein		
Function unknown	VOG15089	Hypothetical protein		
Function unknown	VOG15090	Hypothetical protein		
Function unknown	VOG15091	Hypothetical protein		
Function unknown	VOG15092	Hypothetical protein		
Function unknown	VOG15093	Hypothetical protein		
Function unknown	VOG15094	Hypothetical protein		
Function unknown	VOG15095	Hypothetical protein		
Function unknown	VOG15096	Hypothetical protein		
Function unknown	VOG15097	Hypothetical protein		
Function unknown	VOG15098	Uncharacterized protein ORF41		VG41_ICHVA
Function unknown	VOG15099	Hypothetical protein		
Function unknown	VOG15100	Hypothetical protein		
Function unknown	VOG15101	Hypothetical protein		
Function unknown	VOG15102	Hypothetical protein		
Function unknown	VOG15103	Hypothetical protein		
Function unknown	VOG15104	Hypothetical protein		
Function unknown	VOG15105	Hypothetical protein		
Function unknown	VOG15106	Hypothetical protein		
Function unknown	VOG15107	Hypothetical protein		
Function unknown	VOG15108	Hypothetical protein		
Function unknown	VOG15109	Hypothetical protein		
Function unknown	VOG15110	Hypothetical protein		
Function unknown	VOG15111	Hypothetical protein		
Function unknown	VOG15112	Hypothetical protein		
Function unknown	VOG15113	Hypothetical protein		
Function unknown	VOG15114	Hypothetical protein		
Function unknown	VOG15115	Hypothetical protein		
Function unknown	VOG15116	Hypothetical protein		
Function unknown	VOG15117	Hypothetical protein		
Virus protein with function beneficial for the host	VOG15118	C4b-binding protein alpha chain		C4BPA_HUMAN
Function unknown	VOG15119	Hypothetical protein		
Function unknown	VOG15120	Hypothetical protein		
Function unknown	VOG15121	Hypothetical protein		
Function unknown	VOG15122	Hypothetical protein		
Function unknown	VOG15123	Hypothetical protein		
Function unknown	VOG15124	ParB-like partition protein		
Function unknown	VOG15125	Hypothetical protein		
Function unknown	VOG15126	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG15127	Lysis protein E		LYS_BPPHS
Virus structure	VOG15128	Uncharacterized protein R402		YR402_MIMIV
Function unknown	VOG15129	Hypothetical protein		
Function unknown	VOG15130	Hypothetical protein		
Function unknown	VOG15131	Hypothetical protein		
Function unknown	VOG15132	Hypothetical protein		
Function unknown	VOG15133	Hypothetical protein		
Function unknown	VOG15134	Hypothetical protein		
Function unknown	VOG15135	Hypothetical protein		
Function unknown	VOG15136	Hypothetical protein		
Function unknown	VOG15137	Hypothetical protein		
Function unknown	VOG15138	Hypothetical protein		
Function unknown	VOG15139	Hypothetical protein		
Function unknown	VOG15140	Uncharacterized 5.2 kDa protein in arn-motA intergenic region		Y16B_BPT4
Function unknown	VOG15141	Hypothetical protein		
Function unknown	VOG15142	Hypothetical protein		
Function unknown	VOG15143	Membrane protein		
Function unknown	VOG15144	Hypothetical protein		
Function unknown	VOG15145	Hypothetical protein		
Function unknown	VOG15146	Hypothetical protein		
Function unknown	VOG15147	RuvC-like Holliday junction resolvase		
Function unknown	VOG15148	Hypothetical protein		
Function unknown	VOG15149	Uncharacterized protein R342		YR342_MIMIV
Function unknown	VOG15150	Hypothetical protein		
Function unknown	VOG15151	Hypothetical protein		
Function unknown	VOG15152	Hypothetical protein		
Function unknown	VOG15153	Hypothetical protein		
Function unknown	VOG15154	Hypothetical protein		
Function unknown	VOG15155	ORF 55		
Function unknown	VOG15156	Hypothetical protein		
Function unknown	VOG15157	Clamp loader of DNA polymerase		
Function unknown	VOG15158	Hypothetical protein		
Function unknown	VOG15159	Hypothetical protein		
Function unknown	VOG15160	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15161	Internal virion protein gp15		GP15_BPT7
Function unknown	VOG15162	Hypothetical protein		
Function unknown	VOG15163	Membrane protein		
Function unknown	VOG15164	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15165	Genome polyprotein		POLG_HAVH2
Function unknown	VOG15166	Uncharacterized protein 020R		020R_FRG3G
Function unknown	VOG15167	Hypothetical protein		
Function unknown	VOG15168	Hypothetical protein		
Function unknown	VOG15169	Hypothetical protein		
Function unknown	VOG15170	Unknown similar to AMEV198		
Function unknown	VOG15171	Hypothetical protein		
Function unknown	VOG15172	Cy228.1		
Function unknown	VOG15173	Hypothetical protein		
Function unknown	VOG15174	Hypothetical protein		
Function unknown	VOG15175	Hypothetical protein		
Function unknown	VOG15176	Hypothetical protein		
Function unknown	VOG15177	Hypothetical protein		
Function unknown	VOG15178	Hypothetical protein		
Function unknown	VOG15179	Hypothetical protein		
Function unknown	VOG15180	Hypothetical protein		
Function unknown	VOG15181	Exodeoxyribonuclease YycJ		YYCJ_BACSU
Function unknown	VOG15182	Hypothetical protein		
Function unknown	VOG15183	Hypothetical protein		
Function unknown	VOG15184	Tail protein		
Function unknown	VOG15185	Hypothetical protein		
Function unknown	VOG15186	Hypothetical protein		
Function unknown	VOG15187	Hypothetical protein		
Function unknown	VOG15188	Hypothetical protein		
Function unknown	VOG15189	Hypothetical protein		
Function unknown	VOG15190	Hypothetical protein		
Function unknown	VOG15191	Hypothetical protein		
Function unknown	VOG15192	Peptidase		
Function unknown	VOG15193	Hypothetical protein		
Function unknown	VOG15194	Hypothetical protein		
Function unknown	VOG15195	Hypothetical protein		
Function unknown	VOG15196	Hypothetical protein		
Function unknown	VOG15197	Hypothetical protein		
Function unknown	VOG15198	Hypothetical protein		
Function unknown	VOG15199	Uncharacterized 37.2 kDa protein		Y011_NPVOP
Function unknown	VOG15200	Hypothetical protein		
Function unknown	VOG15201	Hypothetical protein		
Function unknown	VOG15202	Hypothetical protein		
Function unknown	VOG15203	Hypothetical protein		
Function unknown	VOG15204	Hypothetical protein		
Function unknown	VOG15205	Hypothetical protein		
Function unknown	VOG15206	Hypothetical protein		
Function unknown	VOG15207	Hypothetical protein		
Function unknown	VOG15208	Hypothetical protein		
Function unknown	VOG15209	Hypothetical protein		
Function unknown	VOG15210	Hypothetical protein		
Function unknown	VOG15211	Hypothetical protein		
Function unknown	VOG15212	Hypothetical protein		
Function unknown	VOG15213	Hypothetical protein		
Function unknown	VOG15214	Hypothetical protein		
Function unknown	VOG15215	Hypothetical protein		
Virus structure	VOG15216	Major capsid protein P2		CAPSD_BPPM2
Function unknown	VOG15217	Arylsulfatase		
Function unknown	VOG15218	Hypothetical protein		
Function unknown	VOG15219	Hypothetical protein		
Function unknown	VOG15220	Hypothetical protein		
Function unknown	VOG15221	Hypothetical protein		
Function unknown	VOG15222	Hypothetical protein		
Function unknown	VOG15223	DUF5067 domain-containing protein		
Function unknown	VOG15224	Hypothetical protein		
Function unknown	VOG15225	Hypothetical protein		
Function unknown	VOG15226	DNA helicase		
Function unknown	VOG15227	Hypothetical protein		
Function unknown	VOG15228	Hypothetical protein		
Function unknown	VOG15229	Uncharacterized 11.3 kDa protein in lys 3'region		YO26_BPHC1
Function unknown	VOG15230	Hypothetical protein		
Function unknown	VOG15231	Rho-associated, coiled-coil containing protein kinase 2		
Function unknown	VOG15232	Hypothetical protein		
Function unknown	VOG15233	Hypothetical protein		
Function unknown	VOG15234	Hypothetical protein		
Function unknown	VOG15235	Hypothetical protein		
Function unknown	VOG15236	Hypothetical protein		
Function unknown	VOG15237	Hypothetical protein		
Function unknown	VOG15238	Hypothetical protein		
Function unknown	VOG15239	Hypothetical protein		
Virus replication | Virus structure	VOG15240	Assembly protein P7		P7_BPPH6
Function unknown	VOG15241	Hypothetical protein		
Function unknown	VOG15242	Hypothetical protein		
Function unknown	VOG15243	Hypothetical protein		
Function unknown	VOG15244	Hypothetical protein		
Function unknown	VOG15245	Hypothetical protein		
Function unknown	VOG15246	Hypothetical protein		
Function unknown	VOG15247	Hypothetical protein		
Function unknown	VOG15248	Hypothetical protein		
Function unknown	VOG15249	Hypothetical protein		
Function unknown	VOG15250	Hypothetical protein		
Function unknown	VOG15251	Hypothetical protein		
Function unknown	VOG15252	Hypothetical protein		
Function unknown	VOG15253	Hypothetical protein		
Function unknown	VOG15254	Hypothetical protein		
Function unknown	VOG15255	Hypothetical protein		
Function unknown	VOG15256	Flagellar protein		
Function unknown	VOG15257	Hypothetical protein		
Function unknown	VOG15258	Hypothetical protein		
Function unknown	VOG15259	Hypothetical protein		
Function unknown	VOG15260	Hypothetical protein		
Function unknown	VOG15261	Hypothetical protein		
Function unknown	VOG15262	Hypothetical protein		
Function unknown	VOG15263	Hypothetical protein		
Function unknown	VOG15264	Hypothetical protein		
Function unknown	VOG15265	Hypothetical protein		
Function unknown	VOG15266	Hypothetical protein		
Function unknown	VOG15267	HNH endonuclease		
Function unknown	VOG15268	Phenylalanyl-tRNA synthetase alpha subunit		
Function unknown	VOG15269	Hypothetical protein		
Function unknown	VOG15270	Hypothetical protein		
Function unknown	VOG15271	Hypothetical protein		
Function unknown	VOG15272	Hypothetical protein		
Function unknown	VOG15273	Hypothetical protein		
Function unknown	VOG15274	Hypothetical protein		
Function unknown	VOG15275	Hypothetical protein		
Function unknown	VOG15276	Hypothetical protein		
Function unknown	VOG15277	Hypothetical protein		
Function unknown	VOG15278	Gp252		
Function unknown	VOG15279	Hypothetical protein		
Function unknown	VOG15280	Hypothetical protein		
Function unknown	VOG15281	Hypothetical protein		
Function unknown	VOG15282	Hypothetical protein		
Function unknown	VOG15283	Hypothetical protein		
Function unknown	VOG15284	Gp262		
Function unknown	VOG15285	Hypothetical protein		
Function unknown	VOG15286	Hypothetical protein		
Function unknown	VOG15287	Hypothetical protein		
Function unknown	VOG15288	Hypothetical protein		
Function unknown	VOG15289	Hypothetical protein		
Function unknown	VOG15290	Hypothetical protein		
Function unknown	VOG15291	Hypothetical protein		
Function unknown	VOG15292	Hypothetical protein		
Function unknown	VOG15293	Hypothetical protein		
Function unknown	VOG15294	Hypothetical protein		
Function unknown	VOG15295	Hypothetical protein		
Function unknown	VOG15296	Uncharacterized protein ORF29		VG29_ICHVA
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG15297	Genome polyprotein		POLG_TMEVB
Function unknown	VOG15298	Hypothetical protein		
Function unknown	VOG15299	Hypothetical protein		
Function unknown	VOG15300	Hypothetical protein		
Function unknown	VOG15301	Hypothetical protein		
Function unknown	VOG15302	Hypothetical protein		
Function unknown	VOG15303	Hypothetical protein		
Function unknown	VOG15304	Hypothetical protein		
Function unknown	VOG15305	Tail tube protein		
Function unknown	VOG15306	Hypothetical protein		
Function unknown	VOG15307	Hypothetical protein		
Function unknown	VOG15308	Hypothetical protein		
Function unknown	VOG15309	Hypothetical protein		
Function unknown	VOG15310	Hypothetical protein		
Function unknown	VOG15311	Hypothetical protein		
Function unknown	VOG15312	Hypothetical protein		
Function unknown	VOG15313	Hypothetical protein		
Function unknown	VOG15314	Head scaffolding protein		
Function unknown	VOG15315	Hypothetical protein		
Function unknown	VOG15316	Hypothetical protein		
Function unknown	VOG15317	Hypothetical protein		
Function unknown	VOG15318	Membrane lipoprotein		
Function unknown	VOG15319	Hypothetical protein		
Function unknown	VOG15320	Hypothetical protein		
Function unknown	VOG15321	Hypothetical protein		
Function unknown	VOG15322	Hypothetical protein		
Function unknown	VOG15323	Hypothetical protein		
Function unknown	VOG15324	Hypothetical protein		
Function unknown	VOG15325	Hypothetical protein		
Function unknown	VOG15326	Hypothetical protein		
Function unknown	VOG15327	Hypothetical protein		
Function unknown	VOG15328	Hypothetical protein		
Function unknown	VOG15329	Hypothetical protein		
Function unknown	VOG15330	Hypothetical protein		
Function unknown	VOG15331	Putative orfan		
Function unknown	VOG15332	Hypothetical protein		
Function unknown	VOG15333	Hypothetical protein		
Function unknown	VOG15334	Hypothetical protein		
Function unknown	VOG15335	Hypothetical protein		
Function unknown	VOG15336	Hypothetical protein		
Function unknown	VOG15337	Uncharacterized protein ORF52		VG52_ICHVA
Function unknown	VOG15338	Hypothetical protein		
Function unknown	VOG15339	Hypothetical protein		
Function unknown	VOG15340	Hypothetical protein		
Function unknown	VOG15341	Hypothetical protein		
Function unknown	VOG15342	Protein rexA		REXA_LAMBD
Function unknown	VOG15343	Hypothetical protein		
Function unknown	VOG15344	Hypothetical protein		
Virus protein with function beneficial for the virus	VOG15345	Gene product 8		GP8_BPN4
Function unknown	VOG15346	Hypothetical protein		
Function unknown	VOG15347	Hypothetical protein		
Function unknown	VOG15348	Hypothetical protein		
Function unknown	VOG15349	Hypothetical protein		
Function unknown	VOG15350	Hypothetical protein		
Function unknown	VOG15351	Hypothetical protein		
Function unknown	VOG15352	Hypothetical protein		
Function unknown	VOG15353	Hypothetical protein		
Function unknown	VOG15354	Hypothetical protein		
Function unknown	VOG15355	Hypothetical protein		
Virus replication	VOG15356	Ribosome hibernation promoting factor		HPF_KLEOX
Function unknown	VOG15357	E4 34K		
Function unknown	VOG15358	Hypothetical protein		
Function unknown	VOG15359	Hypothetical protein		
Function unknown	VOG15360	Hypothetical protein		
Function unknown	VOG15361	Hypothetical protein		
Function unknown	VOG15362	Hypothetical protein		
Function unknown	VOG15363	Hypothetical protein		
Function unknown	VOG15364	Hypothetical protein		
Function unknown	VOG15365	Hypothetical protein		
Function unknown	VOG15366	Hypothetical protein		
Function unknown	VOG15367	Hypothetical protein		
Function unknown	VOG15368	Hypothetical protein		
Function unknown	VOG15369	Hypothetical protein		
Function unknown	VOG15370	Hypothetical protein		
Function unknown	VOG15371	Hypothetical protein		
Function unknown	VOG15372	Hypothetical protein		
Function unknown	VOG15373	Virion structural protein		
Function unknown	VOG15374	Hypothetical protein		
Function unknown	VOG15375	Hypothetical protein		
Function unknown	VOG15376	Hypothetical protein		
Function unknown	VOG15377	Hypothetical protein		
Function unknown	VOG15378	Hypothetical protein		
Function unknown	VOG15379	Hypothetical protein		
Function unknown	VOG15380	Putative transmembrane protein ORF166		Y166_ABVP
Function unknown	VOG15381	Hypothetical protein		
Function unknown	VOG15382	Hypothetical protein		
Function unknown	VOG15383	Hypothetical protein		
Function unknown	VOG15384	Hypothetical protein		
Function unknown	VOG15385	Hypothetical protein		
Function unknown	VOG15386	Hypothetical protein		
Function unknown	VOG15387	Hypothetical protein		
Function unknown	VOG15388	Hypothetical protein		
Function unknown	VOG15389	Unknown similar to AMEV090		
Function unknown	VOG15390	Hypothetical protein		
Function unknown	VOG15391	Head decoration		
Function unknown	VOG15392	Hypothetical protein		
Function unknown	VOG15393	Hypothetical protein		
Function unknown	VOG15394	Hypothetical protein		
Function unknown	VOG15395	Hypothetical protein		
Function unknown	VOG15396	Protein ORF51		
Function unknown	VOG15397	Uncharacterized protein R860		YR860_MIMIV
Function unknown	VOG15398	Hypothetical protein		
Function unknown	VOG15399	FHA domain-containing protein		
Function unknown	VOG15400	Hypothetical protein		
Function unknown	VOG15401	Hypothetical protein		
Function unknown	VOG15402	Hypothetical protein		
Function unknown	VOG15403	Hypothetical protein		
Function unknown	VOG15404	Hypothetical protein		
Function unknown	VOG15405	Hypothetical protein		
