L1	KO	Function	EC
Function unknown	VOG14592	REFSEQ hypothetical protein	
Function unknown	VOG14593	REFSEQ hypothetical protein	
Function unknown	VOG14594	REFSEQ hypothetical protein	
Function unknown	VOG14595	REFSEQ hypothetical protein	
Function unknown	VOG14596	REFSEQ phosphoprotein	
Function unknown	VOG14597	REFSEQ phosphoprotein	
Virus replication | Virus structure	VOG14598	sp|D8V071|PHOSP_TIBVC Phosphoprotein	
Function unknown	VOG14599	sp|D8V073|U1_TIBVC Protein U1	
Function unknown	VOG14600	sp|D8V074|U2_TIBVC Protein U2	
Function unknown	VOG14601	REFSEQ hypothetical protein	
Function unknown	VOG14602	REFSEQ hypothetical protein	
Function unknown	VOG14603	REFSEQ hypothetical protein	
Function unknown	VOG14604	REFSEQ hypothetical protein	
Function unknown	VOG14605	REFSEQ hypothetical protein	
Function unknown	VOG14606	REFSEQ hypothetical protein	
Function unknown	VOG14607	REFSEQ hypothetical protein	
Function unknown	VOG14608	REFSEQ hypothetical protein	
Function unknown	VOG14609	REFSEQ hypothetical protein	
Function unknown	VOG14610	REFSEQ ribonucleotide reductase class Ia beta subunit	
Function unknown	VOG14611	REFSEQ hypothetical protein	
Function unknown	VOG14612	REFSEQ hypothetical protein	
Function unknown	VOG14613	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG14614	sp|P68801|SAK_STAAM Staphylokinase	
Virus protein with function beneficial for the host	VOG14615	sp|Q2FYD8|PH_STAA8 Probable autolysin PH	
Function unknown	VOG14616	REFSEQ holin	
Function unknown	VOG14617	REFSEQ hypothetical protein	
Function unknown	VOG14618	REFSEQ hypothetical protein	
Function unknown	VOG14619	REFSEQ HIRAN domain-containing protein	
Function unknown	VOG14620	REFSEQ hypothetical protein	
Function unknown	VOG14621	REFSEQ hypothetical protein	
Function unknown	VOG14622	REFSEQ membrane protein	
Function unknown	VOG14623	REFSEQ hypothetical protein	
Function unknown	VOG14624	REFSEQ hypothetical protein	
Function unknown	VOG14625	REFSEQ hypothetical protein	
Function unknown	VOG14626	REFSEQ hypothetical protein	
Function unknown	VOG14627	REFSEQ hypothetical protein	
Function unknown	VOG14628	REFSEQ hypothetical protein	
Function unknown	VOG14629	REFSEQ hypothetical protein	
Function unknown	VOG14630	REFSEQ hypothetical protein	
Function unknown	VOG14631	REFSEQ hypothetical protein	
Function unknown	VOG14632	REFSEQ hypothetical protein	
Function unknown	VOG14633	REFSEQ hypothetical protein	
Function unknown	VOG14634	REFSEQ hypothetical protein	
Function unknown	VOG14635	REFSEQ hypothetical protein	
Function unknown	VOG14636	REFSEQ hypothetical protein	
Function unknown	VOG14637	REFSEQ major capsid protein	
Function unknown	VOG14638	REFSEQ hypothetical protein	
Function unknown	VOG14639	REFSEQ portal protein	
Function unknown	VOG14640	REFSEQ hypothetical protein	
Function unknown	VOG14641	REFSEQ hypothetical protein	
Function unknown	VOG14642	REFSEQ hypothetical protein	
Function unknown	VOG14643	REFSEQ hypothetical protein	
Function unknown	VOG14644	REFSEQ hypothetical protein	
Function unknown	VOG14645	REFSEQ hypothetical protein	
Function unknown	VOG14646	REFSEQ hypothetical protein	
Function unknown	VOG14647	REFSEQ hypothetical protein	
Function unknown	VOG14648	REFSEQ SPP1 gp17-like tail completion protein	
Function unknown	VOG14649	REFSEQ hypothetical protein	
Function unknown	VOG14650	REFSEQ hypothetical protein	
Function unknown	VOG14651	REFSEQ tail tube	
Function unknown	VOG14652	REFSEQ hypothetical protein	
Function unknown	VOG14653	REFSEQ phate tail tape measure protein	
Function unknown	VOG14654	REFSEQ hypothetical protein	
Function unknown	VOG14655	REFSEQ hypothetical protein	
Function unknown	VOG14656	REFSEQ hypothetical protein	
Function unknown	VOG14657	REFSEQ hypothetical protein	
Function unknown	VOG14658	REFSEQ hypothetical protein	
Function unknown	VOG14659	REFSEQ hypothetical protein	
Function unknown	VOG14660	REFSEQ hypothetical protein	
Function unknown	VOG14661	REFSEQ hypothetical protein	
Function unknown	VOG14662	REFSEQ short tail fiber protein	
Function unknown	VOG14663	REFSEQ hypothetical protein	
Function unknown	VOG14664	REFSEQ hypothetical protein	
Function unknown	VOG14665	REFSEQ hypothetical protein	
Function unknown	VOG14666	REFSEQ hypothetical protein	
Function unknown	VOG14667	REFSEQ hypothetical protein	
Function unknown	VOG14668	REFSEQ hypothetical protein	
Function unknown	VOG14669	REFSEQ hypothetical protein	
Function unknown	VOG14670	REFSEQ hypothetical protein	
Function unknown	VOG14671	REFSEQ hypothetical protein	
Function unknown	VOG14672	REFSEQ hypothetical protein	
Function unknown	VOG14673	REFSEQ hypothetical protein	
Function unknown	VOG14674	REFSEQ hypothetical protein	
Function unknown	VOG14675	REFSEQ hypothetical protein	
Function unknown	VOG14676	REFSEQ hypothetical protein	
Function unknown	VOG14677	REFSEQ hypothetical protein	
Function unknown	VOG14678	REFSEQ hypothetical protein	
Function unknown	VOG14679	REFSEQ virion structural protein	
Function unknown	VOG14680	REFSEQ tail fiber protein	
Function unknown	VOG14681	REFSEQ hypothetical protein	
Function unknown	VOG14682	REFSEQ hypothetical protein	
Function unknown	VOG14683	REFSEQ hypothetical protein	
Function unknown	VOG14684	REFSEQ short tail fiber protein	
Function unknown	VOG14685	REFSEQ hypothetical protein	
Function unknown	VOG14686	REFSEQ ribonucleotide reductase alpha subunit	
Function unknown	VOG14687	REFSEQ hypothetical protein	
Function unknown	VOG14688	REFSEQ hypothetical protein	
Function unknown	VOG14689	REFSEQ hypothetical protein	
Function unknown	VOG14690	REFSEQ hypothetical protein	
Function unknown	VOG14691	REFSEQ hypothetical protein	
Function unknown	VOG14692	REFSEQ hypothetical protein	
Function unknown	VOG14693	REFSEQ hypothetical protein	
Function unknown	VOG14694	REFSEQ hypothetical protein	
Function unknown	VOG14695	REFSEQ hypothetical protein	
Function unknown	VOG14696	REFSEQ hypothetical protein	
Function unknown	VOG14697	REFSEQ hypothetical protein	
Function unknown	VOG14698	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG14699	sp|P29566|T2MZ_METTF Type II restriction enzyme MthZI	
Function unknown	VOG14700	REFSEQ hypothetical protein	
Function unknown	VOG14701	REFSEQ hypothetical protein	
Function unknown	VOG14702	REFSEQ hypothetical protein	
Function unknown	VOG14703	REFSEQ hypothetical protein	
Function unknown	VOG14704	REFSEQ hypothetical protein	
Function unknown	VOG14705	REFSEQ hypothetical protein	
Function unknown	VOG14706	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG14707	sp|P27959|POLG_HCVJ2 Genome polyprotein (Fragment)	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG14708	sp|Q69422|POLG_GBVB Genome polyprotein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG14709	sp|Q69422|POLG_GBVB Genome polyprotein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG14710	sp|O92531|POLG_HCVVO Genome polyprotein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG14711	sp|O92530|POLG_HCVVN Genome polyprotein	
Function unknown	VOG14712	REFSEQ head protein	
Function unknown	VOG14713	REFSEQ hypothetical protein	
Function unknown	VOG14714	REFSEQ capsid protein VP3	
Function unknown	VOG14715	REFSEQ hypothetical protein	
Function unknown	VOG14716	REFSEQ single strand DNA binding protein	
Function unknown	VOG14717	REFSEQ hypothetical protein	
Function unknown	VOG14718	REFSEQ hypothetical protein	
Function unknown	VOG14719	REFSEQ hypothetical protein	
Function unknown	VOG14720	REFSEQ hypothetical protein	
Function unknown	VOG14721	REFSEQ hypothetical protein	
Function unknown	VOG14722	REFSEQ hypothetical protein	
Function unknown	VOG14723	REFSEQ hypothetical protein	
Function unknown	VOG14724	REFSEQ hypothetical protein	
Function unknown	VOG14725	REFSEQ hypothetical protein	
Function unknown	VOG14726	REFSEQ hypothetical protein	
Function unknown	VOG14727	REFSEQ lipoprotein	
Function unknown	VOG14728	REFSEQ hypothetical protein	
Function unknown	VOG14729	REFSEQ hypothetical protein	
Function unknown	VOG14730	REFSEQ hypothetical protein	
Function unknown	VOG14731	REFSEQ hypothetical protein	
Function unknown	VOG14732	REFSEQ hypothetical protein	
Function unknown	VOG14733	REFSEQ hypothetical protein	
Function unknown	VOG14734	REFSEQ ATPase	
Function unknown	VOG14735	REFSEQ hypothetical protein	
Function unknown	VOG14736	REFSEQ hypothetical protein	
Function unknown	VOG14737	REFSEQ hypothetical protein	
Function unknown	VOG14738	REFSEQ hypothetical protein	
Function unknown	VOG14739	REFSEQ hypothetical protein	
Function unknown	VOG14740	REFSEQ hypothetical protein	
Function unknown	VOG14741	REFSEQ hypothetical protein	
Function unknown	VOG14742	REFSEQ hypothetical protein	
Function unknown	VOG14743	REFSEQ hypothetical protein	
Function unknown	VOG14744	REFSEQ hypothetical protein	
Function unknown	VOG14745	REFSEQ hypothetical protein	
Function unknown	VOG14746	REFSEQ hypothetical protein	
Function unknown	VOG14747	REFSEQ baseplate wedge subunit	
Function unknown	VOG14748	REFSEQ glycosyltransferase	
Function unknown	VOG14749	REFSEQ Fibrinogen-like coiled coil protein	
Function unknown	VOG14750	REFSEQ hypothetical protein	
Function unknown	VOG14751	REFSEQ hypothetical protein	
Function unknown	VOG14752	REFSEQ hypothetical protein	
Function unknown	VOG14753	REFSEQ hypothetical protein	
Function unknown	VOG14754	REFSEQ hypothetical protein	
Function unknown	VOG14755	REFSEQ hypothetical protein	
Function unknown	VOG14756	REFSEQ hypothetical protein	
Function unknown	VOG14757	REFSEQ hypothetical protein	
Function unknown	VOG14758	REFSEQ hypothetical protein	
Function unknown	VOG14759	REFSEQ hypothetical protein	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG14760	sp|O36307|NCAP_ANDV Nucleoprotein	
Function unknown	VOG14761	REFSEQ hypothetical protein	
Function unknown	VOG14762	REFSEQ hypothetical protein	
Function unknown	VOG14763	REFSEQ hypothetical protein	
Function unknown	VOG14764	REFSEQ hypothetical protein	
Function unknown	VOG14765	REFSEQ hypothetical protein	
Function unknown	VOG14766	REFSEQ hypothetical protein	
Function unknown	VOG14767	REFSEQ hypothetical protein	
Function unknown	VOG14768	REFSEQ hypothetical protein	
Function unknown	VOG14769	REFSEQ hypothetical protein	
Function unknown	VOG14770	REFSEQ hypothetical protein	
Function unknown	VOG14771	REFSEQ hypothetical protein	
Function unknown	VOG14772	REFSEQ hypothetical protein	
Function unknown	VOG14773	REFSEQ anti-repressor Ant	
Function unknown	VOG14774	REFSEQ hypothetical protein	
Function unknown	VOG14775	REFSEQ hypothetical protein	
Function unknown	VOG14776	REFSEQ hypothetical protein	
Function unknown	VOG14777	REFSEQ hypothetical protein	
Function unknown	VOG14778	REFSEQ hypothetical protein	
Function unknown	VOG14779	REFSEQ membrane protein	
Function unknown	VOG14780	REFSEQ hypothetical protein	
Function unknown	VOG14781	REFSEQ hypothetical protein	
Function unknown	VOG14782	REFSEQ hypothetical protein	
Function unknown	VOG14783	REFSEQ hypothetical protein	
Function unknown	VOG14784	REFSEQ hypothetical protein	
Function unknown	VOG14785	REFSEQ hypothetical protein	
Function unknown	VOG14786	REFSEQ hypothetical protein	
Function unknown	VOG14787	REFSEQ hypothetical protein	
Function unknown	VOG14788	REFSEQ hypothetical protein	
Function unknown	VOG14789	REFSEQ hypothetical protein	
Function unknown	VOG14790	REFSEQ hypothetical protein	
Function unknown	VOG14791	REFSEQ hypothetical protein	
Function unknown	VOG14792	REFSEQ hypothetical protein	
Function unknown	VOG14793	REFSEQ hypothetical protein	
Function unknown	VOG14794	REFSEQ hypothetical protein	
Function unknown	VOG14795	REFSEQ hypothetical protein	
Function unknown	VOG14796	REFSEQ hypothetical protein	
Function unknown	VOG14797	REFSEQ hypothetical protein	
Function unknown	VOG14798	REFSEQ hypothetical protein	
Function unknown	VOG14799	REFSEQ hypothetical protein	
Function unknown	VOG14800	REFSEQ hypothetical protein	
Function unknown	VOG14801	REFSEQ hypothetical protein	
Function unknown	VOG14802	REFSEQ hypothetical protein	
Function unknown	VOG14803	REFSEQ hypothetical protein	
Function unknown	VOG14804	REFSEQ hypothetical protein	
Function unknown	VOG14805	REFSEQ tail length tape measure protein	
Function unknown	VOG14806	REFSEQ tail length tape measure protein	
Function unknown	VOG14807	REFSEQ minor tail protein	
Function unknown	VOG14808	REFSEQ tail fiber protein	
Function unknown	VOG14809	REFSEQ hypothetical protein	
Function unknown	VOG14810	REFSEQ hypothetical protein	
Function unknown	VOG14811	REFSEQ hypothetical protein	
Function unknown	VOG14812	REFSEQ hypothetical protein	
Function unknown	VOG14813	REFSEQ hypothetical protein	
Function unknown	VOG14814	REFSEQ hypothetical protein	
Function unknown	VOG14815	REFSEQ hypothetical protein	
Function unknown	VOG14816	REFSEQ hypothetical protein	
Function unknown	VOG14817	REFSEQ hypothetical protein	
Function unknown	VOG14818	REFSEQ hypothetical protein	
Function unknown	VOG14819	REFSEQ hypothetical protein	
Function unknown	VOG14820	REFSEQ hypothetical protein	
Function unknown	VOG14821	REFSEQ hypothetical protein	
Function unknown	VOG14822	REFSEQ hypothetical protein	
Function unknown	VOG14823	REFSEQ hypothetical protein	
Function unknown	VOG14824	REFSEQ hypothetical protein	
Function unknown	VOG14825	REFSEQ membrane protein	
Function unknown	VOG14826	REFSEQ hypothetical protein	
Function unknown	VOG14827	REFSEQ hypothetical protein	
Function unknown	VOG14828	REFSEQ hypothetical protein	
Function unknown	VOG14829	REFSEQ hypothetical protein	
Function unknown	VOG14830	REFSEQ hypothetical protein	
Function unknown	VOG14831	REFSEQ hypothetical protein	
Function unknown	VOG14832	REFSEQ hypothetical protein	
Function unknown	VOG14833	REFSEQ hypothetical protein	
Function unknown	VOG14834	REFSEQ hypothetical protein	
Function unknown	VOG14835	REFSEQ hypothetical protein	
Function unknown	VOG14836	REFSEQ hypothetical protein	
Function unknown	VOG14837	REFSEQ hypothetical protein	
Function unknown	VOG14838	REFSEQ hypothetical protein	
Function unknown	VOG14839	REFSEQ hypothetical protein	
Function unknown	VOG14840	REFSEQ hypothetical protein	
Function unknown	VOG14841	REFSEQ DNA topoisomerase	
Function unknown	VOG14842	REFSEQ hypothetical protein	
Function unknown	VOG14843	REFSEQ hypothetical protein	
Function unknown	VOG14844	REFSEQ hypothetical protein	
Function unknown	VOG14845	REFSEQ hypothetical protein	
Function unknown	VOG14846	REFSEQ hypothetical protein	
Function unknown	VOG14847	REFSEQ hypothetical protein	
Function unknown	VOG14848	REFSEQ hypothetical protein	
Function unknown	VOG14849	REFSEQ hypothetical protein	
Function unknown	VOG14850	REFSEQ hypothetical protein	
Function unknown	VOG14851	REFSEQ hypothetical protein	
Function unknown	VOG14852	REFSEQ hypothetical protein	
Function unknown	VOG14853	REFSEQ hypothetical protein	
Function unknown	VOG14854	REFSEQ hypothetical protein	
Function unknown	VOG14855	REFSEQ hypothetical protein	
Function unknown	VOG14856	REFSEQ hypothetical protein	
Function unknown	VOG14857	REFSEQ hypothetical protein	
Function unknown	VOG14858	REFSEQ hypothetical protein	
Function unknown	VOG14859	REFSEQ hypothetical protein	
Function unknown	VOG14860	REFSEQ hypothetical protein	
Function unknown	VOG14861	REFSEQ hypothetical protein	
Function unknown	VOG14862	REFSEQ hypothetical protein	
Function unknown	VOG14863	REFSEQ hypothetical protein	
Function unknown	VOG14864	REFSEQ hypothetical protein	
Function unknown	VOG14865	REFSEQ hypothetical protein	
Function unknown	VOG14866	REFSEQ hypothetical protein	
Function unknown	VOG14867	REFSEQ hypothetical protein	
Function unknown	VOG14868	REFSEQ hypothetical protein	
Function unknown	VOG14869	REFSEQ hypothetical protein	
Function unknown	VOG14870	REFSEQ hypothetical protein	
Function unknown	VOG14871	REFSEQ hypothetical protein	
Function unknown	VOG14872	REFSEQ hypothetical protein	
Function unknown	VOG14873	REFSEQ hypothetical protein	
Function unknown	VOG14874	REFSEQ hypothetical protein	
Function unknown	VOG14875	REFSEQ hypothetical protein	
Function unknown	VOG14876	REFSEQ hypothetical protein	
Function unknown	VOG14877	REFSEQ hypothetical protein	
Function unknown	VOG14878	REFSEQ head scaffolding protein	
Function unknown	VOG14879	REFSEQ hypothetical protein	
Function unknown	VOG14880	REFSEQ hypothetical protein	
Function unknown	VOG14881	REFSEQ hypothetical protein	
Function unknown	VOG14882	REFSEQ hypothetical protein	
Function unknown	VOG14883	REFSEQ hypothetical protein	
Function unknown	VOG14884	REFSEQ hypothetical protein	
Function unknown	VOG14885	REFSEQ hypothetical protein	
Function unknown	VOG14886	REFSEQ hypothetical protein	
Function unknown	VOG14887	REFSEQ hypothetical protein	
Function unknown	VOG14888	REFSEQ hypothetical protein	
Function unknown	VOG14889	REFSEQ hypothetical protein	
Function unknown	VOG14890	REFSEQ hypothetical protein	
Function unknown	VOG14891	REFSEQ hypothetical protein	
Function unknown	VOG14892	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG14893	sp|P03048|RP28_BPSP1 RNA polymerase sigma GP28 factor	
Virus replication	VOG14894	sp|P06228|GP27_BPSP1 Gene 27 protein	
Function unknown	VOG14895	REFSEQ hypothetical protein	
Function unknown	VOG14896	REFSEQ hypothetical protein	
Function unknown	VOG14897	REFSEQ head decoration	
Function unknown	VOG14898	REFSEQ hypothetical protein	
Function unknown	VOG14899	sp|Q38423|GP30_BPSP1 Gene 30 protein	
Function unknown	VOG14900	REFSEQ hypothetical protein	
Function unknown	VOG14901	REFSEQ hypothetical protein	
Function unknown	VOG14902	REFSEQ hypothetical protein	
Function unknown	VOG14903	sp|P06226|GP33_BPSP1 Gene 33 protein	
Function unknown	VOG14904	REFSEQ primase	
Function unknown	VOG14905	REFSEQ hypothetical protein	
Function unknown	VOG14906	REFSEQ primase	
Function unknown	VOG14907	REFSEQ hypothetical protein	
Function unknown	VOG14908	REFSEQ hypothetical protein	
Function unknown	VOG14909	REFSEQ hypothetical protein	
Function unknown	VOG14910	REFSEQ hypothetical protein	
Function unknown	VOG14911	REFSEQ hypothetical protein	
Function unknown	VOG14912	REFSEQ hypothetical protein	
Function unknown	VOG14913	REFSEQ hypothetical protein	
Function unknown	VOG14914	REFSEQ hypothetical protein	
Function unknown	VOG14915	REFSEQ hypothetical protein	
Function unknown	VOG14916	REFSEQ hypothetical protein	
Function unknown	VOG14917	REFSEQ hypothetical protein	
Function unknown	VOG14918	REFSEQ hypothetical protein	
Function unknown	VOG14919	REFSEQ hypothetical protein	
Function unknown	VOG14920	REFSEQ hypothetical protein	
Function unknown	VOG14921	REFSEQ hypothetical protein	
Function unknown	VOG14922	REFSEQ hypothetical protein	
Function unknown	VOG14923	REFSEQ hypothetical protein	
Function unknown	VOG14924	REFSEQ hypothetical protein	
Function unknown	VOG14925	REFSEQ hypothetical protein	
Function unknown	VOG14926	REFSEQ replication protein	
Function unknown	VOG14927	REFSEQ hypothetical protein	
Function unknown	VOG14928	REFSEQ hypothetical protein	
Function unknown	VOG14929	REFSEQ hypothetical protein	
Function unknown	VOG14930	REFSEQ hypothetical protein	
Function unknown	VOG14931	REFSEQ hypothetical protein	
Function unknown	VOG14932	REFSEQ hypothetical protein	
Function unknown	VOG14933	REFSEQ hypothetical protein	
Function unknown	VOG14934	REFSEQ hypothetical protein	
Function unknown	VOG14935	REFSEQ hypothetical protein	
Function unknown	VOG14936	REFSEQ hypothetical protein	
Function unknown	VOG14937	REFSEQ tail fiber protein	
Function unknown	VOG14938	REFSEQ hypothetical protein	
Function unknown	VOG14939	REFSEQ hypothetical protein	
Function unknown	VOG14940	REFSEQ hypothetical protein	
Function unknown	VOG14941	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG14942	sp|P29139|ISP_PAEPO Intracellular serine protease	
Function unknown	VOG14943	REFSEQ hypothetical protein	
Function unknown	VOG14944	REFSEQ hypothetical protein	
Function unknown	VOG14945	REFSEQ hypothetical protein	
Function unknown	VOG14946	REFSEQ hypothetical protein	
Function unknown	VOG14947	REFSEQ hypothetical protein	
Function unknown	VOG14948	REFSEQ hypothetical protein	
Function unknown	VOG14949	REFSEQ hypothetical protein	
Function unknown	VOG14950	REFSEQ hypothetical protein	
Function unknown	VOG14951	REFSEQ hypothetical protein	
Function unknown	VOG14952	REFSEQ hypothetical protein	
Function unknown	VOG14953	REFSEQ hypothetical protein	
Function unknown	VOG14954	REFSEQ hypothetical protein	
Function unknown	VOG14955	REFSEQ hypothetical protein	
Function unknown	VOG14956	REFSEQ hypothetical protein	
Function unknown	VOG14957	REFSEQ hypothetical protein	
Function unknown	VOG14958	REFSEQ hypothetical protein	
Function unknown	VOG14959	REFSEQ hypothetical protein	
Function unknown	VOG14960	REFSEQ hypothetical protein	
Function unknown	VOG14961	REFSEQ hypothetical protein	
Function unknown	VOG14962	REFSEQ hypothetical protein	
Function unknown	VOG14963	REFSEQ hypothetical protein	
Function unknown	VOG14964	REFSEQ hypothetical protein	
Function unknown	VOG14965	REFSEQ hypothetical protein	
Function unknown	VOG14966	REFSEQ hypothetical protein	
Function unknown	VOG14967	REFSEQ hypothetical protein	
Function unknown	VOG14968	REFSEQ hypothetical protein	
Function unknown	VOG14969	REFSEQ hypothetical protein	
Function unknown	VOG14970	REFSEQ hypothetical protein	
Function unknown	VOG14971	REFSEQ hypothetical protein	
Function unknown	VOG14972	REFSEQ membrane protein	
Function unknown	VOG14973	REFSEQ peptidase	
Function unknown	VOG14974	REFSEQ E3 ORFA	
Function unknown	VOG14975	REFSEQ hypothetical protein	
Function unknown	VOG14976	sp|Q196T4|126R_IIV3 Uncharacterized protein 126R	
Function unknown	VOG14977	sp|Q196T5|125R_IIV3 Uncharacterized protein 125R	
Function unknown	VOG14978	REFSEQ hypothetical protein	
Function unknown	VOG14979	sp|Q196T7|123L_IIV3 Uncharacterized protein 123L	
Function unknown	VOG14980	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG14981	sp|P22856|VL96_IRV1 Putative ubiquitin thioesterase L96	
Function unknown	VOG14982	sp|Q196X8|082L_IIV3 Uncharacterized protein 082L	
Function unknown	VOG14983	REFSEQ hypothetical protein	
Function unknown	VOG14984	sp|Q196Y7|073R_IIV3 Uncharacterized protein 073R	
Function unknown	VOG14985	sp|Q197E2|VF415_IIV3 Uncharacterized protein 018L	
Function unknown	VOG14986	sp|Q196U8|VF466_IIV3 Uncharacterized protein 112R	
Function unknown	VOG14987	sp|Q91FU4|228L_IIV6 Uncharacterized protein 228L	
Function unknown	VOG14988	sp|Q197F9|VF395_IIV3 Uncharacterized protein 001R	
Function unknown	VOG14989	REFSEQ immune reactive putative protease inhibitor	
Function unknown	VOG14990	REFSEQ hypothetical protein	
Function unknown	VOG14991	REFSEQ hypothetical protein	
Function unknown	VOG14992	sp|Q196U1|119R_IIV3 Uncharacterized protein 119R	
Function unknown	VOG14993	sp|Q196U6|114L_IIV3 Uncharacterized protein 114L	
Function unknown	VOG14994	sp|Q196U5|VF342_IIV3 Uncharacterized protein 115R	
Function unknown	VOG14995	sp|Q196U4|116R_IIV3 Uncharacterized protein 116R	
Function unknown	VOG14996	sp|Q196X9|081L_IIV3 Putative FAS1 domain-containing protein 081L	
Function unknown	VOG14997	REFSEQ hypothetical protein	
Function unknown	VOG14998	sp|O55727|111R_IIV6 Uncharacterized protein 111R	
Function unknown	VOG14999	sp|Q197D7|023R_IIV3 Uncharacterized protein 023R	
Function unknown	VOG15000	REFSEQ hypothetical protein	
Function unknown	VOG15001	REFSEQ hypothetical protein	
Function unknown	VOG15002	REFSEQ hypothetical protein	
Function unknown	VOG15003	sp|Q197E5|VF015_IIV3 Uncharacterized protein 015R	
Function unknown	VOG15004	sp|Q196Z1|VF198_IIV3 Uncharacterized protein 069L	
Function unknown	VOG15005	sp|Q197A3|057L_IIV3 Uncharacterized protein 057L	
Function unknown	VOG15006	sp|Q197E8|VF302_IIV3 Putative zinc finger protein 012R	
Function unknown	VOG15007	REFSEQ >1301279.YP_008357387.1	
Function unknown	VOG15008	sp|Q197D8|022L_IIV3 Transmembrane protein 022L	
Function unknown	VOG15009	REFSEQ hypothetical protein	
Function unknown	VOG15010	REFSEQ hypothetical protein	
Function unknown	VOG15011	sp|Q196Y6|VF268_IIV3 Uncharacterized protein 074L	
Function unknown	VOG15012	sp|Q197B7|VF010_IIV3 Uncharacterized protein 043R	
Function unknown	VOG15013	sp|Q196W0|VF378_IIV3 Uncharacterized protein 100L	
Function unknown	VOG15014	REFSEQ histone H4-like	
Function unknown	VOG15015	sp|Q197B5|045R_IIV3 Uncharacterized protein 045R	
Function unknown	VOG15016	sp|Q196Z9|VF467_IIV3 Uncharacterized protein 061R	
Function unknown	VOG15017	sp|Q196Z6|064L_IIV3 Uncharacterized protein 064L	
Function unknown	VOG15018	sp|O55730|VF115_IIV6 Uncharacterized protein 115R	
Function unknown	VOG15019	sp|Q197C6|VF077_IIV3 Putative zinc finger protein 034R	
Function unknown	VOG15020	sp|Q197D2|028R_IIV3 Uncharacterized protein 028R	
Function unknown	VOG15021	REFSEQ hypothetical protein	
Function unknown	VOG15022	REFSEQ hypothetical protein	
Function unknown	VOG15023	REFSEQ hypothetical protein	
Function unknown	VOG15024	sp|Q91FN1|293R_IIV6 Uncharacterized protein 293R	
Function unknown	VOG15025	REFSEQ hypothetical protein	
Function unknown	VOG15026	REFSEQ hypothetical protein	
Function unknown	VOG15027	REFSEQ hypothetical protein	
Function unknown	VOG15028	REFSEQ E3 CR1-delta1	
Function unknown	VOG15029	REFSEQ hypothetical protein	
Function unknown	VOG15030	REFSEQ hypothetical protein	
Function unknown	VOG15031	REFSEQ hypothetical protein	
Function unknown	VOG15032	REFSEQ hypothetical protein	
Function unknown	VOG15033	REFSEQ hypothetical protein	
Function unknown	VOG15034	REFSEQ hypothetical protein	
Function unknown	VOG15035	REFSEQ hypothetical protein	
Function unknown	VOG15036	REFSEQ hypothetical protein	
Function unknown	VOG15037	REFSEQ C3	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG15038	sp|O56264|NS1_I97A1 Non-structural protein 1	
Function unknown	VOG15039	REFSEQ V3	
Virus structure	VOG15040	sp|O09680|NEP_I85A7 Nuclear export protein	
Virus protein with function beneficial for the host | Virus structure	VOG15041	sp|Q1K9Q1|NRAM_I57A0 Neuraminidase	
Virus structure	VOG15042	sp|Q0A2H4|M1_I59A0 Matrix protein 1	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG15043	sp|P0C5T0|M2_I01A0 Matrix protein 2	
Function unknown	VOG15044	REFSEQ hypothetical protein	
Function unknown	VOG15045	REFSEQ hypothetical protein	
Function unknown	VOG15046	REFSEQ hypothetical protein	
Function unknown	VOG15047	REFSEQ hypothetical protein	
Function unknown	VOG15048	REFSEQ hypothetical protein	
Function unknown	VOG15049	REFSEQ hypothetical protein	
Function unknown	VOG15050	REFSEQ hypothetical protein	
Function unknown	VOG15051	REFSEQ hypothetical protein	
Function unknown	VOG15052	sp|P41450|ORF45_NPVAC Protein ORF45	
Function unknown	VOG15053	REFSEQ el-25	
Function unknown	VOG15054	REFSEQ hypothetical protein	
Function unknown	VOG15055	REFSEQ hypothetical protein	
Function unknown	VOG15056	REFSEQ hypothetical protein	
Function unknown	VOG15057	REFSEQ hypothetical protein	
Function unknown	VOG15058	REFSEQ hypothetical protein	
Function unknown	VOG15059	REFSEQ hypothetical protein	
Function unknown	VOG15060	REFSEQ hypothetical protein	
Function unknown	VOG15061	REFSEQ hypothetical protein	
Function unknown	VOG15062	REFSEQ hypothetical protein	
Function unknown	VOG15063	REFSEQ hypothetical protein	
Function unknown	VOG15064	REFSEQ hypothetical protein	
