L1	L2	L3	L4	KO	Function	EC	Count
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum solventogenic fermentation		K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	1
20_Hydrolysis of polymers	Xylose			K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K02427	rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase	2.1.1.166	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02427	rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase	2.1.1.166	1
12_Transporters	Major Facilitator superfamily (MFS)	Sugar transporters	Fucose:h+ symporter (Fhs) family [tc:2.A.1.7]	K02429	fucP; MFS transporter, FHS family, L-fucose permease		1
18_Sulfur compounds metabolism	Sulfur compounds cycle	Thiosulfate disproportionation		K02439	glpE; thiosulfate sulfurtransferase	2.8.1.1	1
01_Fermentation	Mixed acid fermentation			K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-	1
01_Fermentation	Pyruvate fermentation to butanol			K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation		K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-	1
01_Fermentation	Pyruvate Fermentation	Superpathway of clostridium acetobutylicum acidogenic fermentation		K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-	1
02_Homoacetogenesis	Glycolysis			K02474	wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase	1.1.1.136 1.1.1.-	1
21_Cellular response to stress	Cellular response to osmotic stress			K02480	K02480; two-component system, NarL family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Regulation of response to osmotic stress			K02480	K02480; two-component system, NarL family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Response to osmotic stress			K02480	K02480; two-component system, NarL family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Cellular response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Regulation of response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Response to osmotic stress			K02482	flgS; two-component system, NtrC family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Cellular response to osmotic stress			K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Regulation of response to osmotic stress			K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	1
21_Cellular response to stress	Response to osmotic stress			K02484	K02484; two-component system, OmpR family, sensor kinase	2.7.13.3	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K02493	hemK, prmC, HEMK; release factor glutamine methyltransferase	2.1.1.297	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02493	hemK, prmC, HEMK; release factor glutamine methyltransferase	2.1.1.297	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K02500	hisF; imidazole glycerol-phosphate synthase subunit HisF	4.3.2.10	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K02501	hisH; imidazole glycerol-phosphate synthase subunit HisH	4.3.2.10	1
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase			K02501	hisH; imidazole glycerol-phosphate synthase subunit HisH	4.3.2.10	1
06_Amino acid utilization biosynthesis metabolism	Histidine biosynthesis, pRpp => histidine			K02502	hisZ; ATP phosphoribosyltransferase regulatory subunit		1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	PEP		K02510	hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase	4.1.2.52	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02517	lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase	2.3.1.241 2.3.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K02517	lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase	2.3.1.241 2.3.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K02523	ispB; octaprenyl-diphosphate synthase	2.5.1.90	1
21_Cellular response to stress	Response to nitrosative stress			K02523	ispB; octaprenyl-diphosphate synthase	2.5.1.90	1
12_Transporters	Major Facilitator superfamily (MFS)	Sugar transporters	Oligosaccharide:h+ symporter (ohs) family [tc:2.A.1.5]	K02532	lacY; MFS transporter, OHS family, lactose permease		1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to aspartate and asparagine		K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	3.5.1.108	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	3.5.1.108	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	2.3.1.191	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	2.3.1.191	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K02554	mhpD; 2-keto-4-pentenoate hydratase	4.2.1.80	1
09_Carbohydrate Active enzyme - CAZy	Polysaccharide lyase			K02554	mhpD; 2-keto-4-pentenoate hydratase	4.2.1.80	1
21_Cellular response to stress	Response to nitrosative stress			K02558	mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	6.3.2.45	1
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase			K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.227	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	2.4.1.227	1
12_Transporters	Major Facilitator superfamily (MFS)	Nitrate/nitrite transporters	Nitrate/nitrite porter (nnp) family [tc:2.A.1.8]	K02575	NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter		1
11_Nitrogen cycle	Nitrogen Fixation			K02586	nifD; nitrogenase molybdenum-iron protein alpha chain	1.18.6.1	1
11_Nitrogen cycle	Nitrogen Fixation			K02591	nifK; nitrogenase molybdenum-iron protein beta chain	1.18.6.1	1
11_Nitrogen cycle	Nitrogen Fixation			K02595	nifW; nitrogenase-stabilizing/protective protein		1
12_Transporters	Major Facilitator superfamily (MFS)	Organic acid transporters	Metabolite:h+ symporter (mhs) family [tc:2.A.1.6]	K02625	pcaT; MFS transporter, MHS family, dicarboxylic acid transporter PcaT		1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K02654	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase	3.4.23.43 2.1.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02654	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase	3.4.23.43 2.1.1.-	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K02687	prmA; ribosomal protein L11 methyltransferase	2.1.1.-	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K02687	prmA; ribosomal protein L11 methyltransferase	2.1.1.-	1
12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Fructose-specific II component [mD:m00273]	K02769	fruAb; fructose PTS system EIIB component	2.7.1.202	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Lactose		K02769	fruAb; fructose PTS system EIIB component	2.7.1.202	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K02769	fruAb; fructose PTS system EIIB component	2.7.1.202	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K02769	fruAb; fructose PTS system EIIB component	2.7.1.202	1
20_Hydrolysis of polymers	Starch			K02769	fruAb; fructose PTS system EIIB component	2.7.1.202	1
20_Hydrolysis of polymers	Mannose			K02769	fruAb; fructose PTS system EIIB component	2.7.1.202	1
20_Hydrolysis of polymers	Galactose			K02769	fruAb; fructose PTS system EIIB component	2.7.1.202	1
12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Fructose-specific II component [mD:m00273]	K02770	fruA; fructose PTS system EIIBC or EIIC component	2.7.1.202	1
12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Phosphocarrier protein hpr	K02784	ptsH; phosphocarrier protein HPr		1
12_Transporters	Phosphotransferase system (pts)	Enzyme I and hpr	Nitrogen regulatory II component	K02806	ptsN; nitrogen PTS system EIIA component	2.7.1.-	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Lactose		K02806	ptsN; nitrogen PTS system EIIA component	2.7.1.-	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Sucrose		K02806	ptsN; nitrogen PTS system EIIA component	2.7.1.-	1
19_Saccharide and derivated synthesis	Disaccaride phosphorylase	Maltose		K02806	ptsN; nitrogen PTS system EIIA component	2.7.1.-	1
20_Hydrolysis of polymers	Starch			K02806	ptsN; nitrogen PTS system EIIA component	2.7.1.-	1
20_Hydrolysis of polymers	Mannose			K02806	ptsN; nitrogen PTS system EIIA component	2.7.1.-	1
20_Hydrolysis of polymers	Galactose			K02806	ptsN; nitrogen PTS system EIIA component	2.7.1.-	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase	2.4.2.9	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Mucin type O-glycan biosynthesis		K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	N-glycan biosynthesis		K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
20_Hydrolysis of polymers	Mannose			K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
21_Cellular response to stress	Response to osmotic stress			K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K02848	waaP, rfaP; heptose I phosphotransferase	2.7.1.-	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K03040	rpoA; DNA-directed RNA polymerase subunit alpha	2.7.7.6	1
07_Nucleic acid metabolism	Purine metabolism			K03040	rpoA; DNA-directed RNA polymerase subunit alpha	2.7.7.6	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K03043	rpoB; DNA-directed RNA polymerase subunit beta	2.7.7.6	1
07_Nucleic acid metabolism	Purine metabolism			K03043	rpoB; DNA-directed RNA polymerase subunit beta	2.7.7.6	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K03046	rpoC; DNA-directed RNA polymerase subunit beta'	2.7.7.6	1
07_Nucleic acid metabolism	Purine metabolism			K03046	rpoC; DNA-directed RNA polymerase subunit beta'	2.7.7.6	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K03060	rpoZ; DNA-directed RNA polymerase subunit omega	2.7.7.6	1
07_Nucleic acid metabolism	Purine metabolism			K03060	rpoZ; DNA-directed RNA polymerase subunit omega	2.7.7.6	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Oxaloacetate to lysine		K03179	ubiA; 4-hydroxybenzoate polyprenyltransferase	2.5.1.39	1
21_Cellular response to stress	Response to nitrosative stress			K03179	ubiA; 4-hydroxybenzoate polyprenyltransferase	2.5.1.39	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03183	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	2.1.1.163 2.1.1.201	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03183	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	2.1.1.163 2.1.1.201	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K03185	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase	1.14.13.-	1
21_Cellular response to stress	Cellular response to stress			K03185	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase	1.14.13.-	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03215	rumA; 23S rRNA (uracil1939-C5)-methyltransferase	2.1.1.190	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03215	rumA; 23S rRNA (uracil1939-C5)-methyltransferase	2.1.1.190	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03216	trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase	2.1.1.207	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03216	trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase	2.1.1.207	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03218	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase	2.1.1.185	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03218	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase	2.1.1.185	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03269	lpxH; UDP-2,3-diacylglucosamine hydrolase	3.6.1.54	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Cysteine and methionine		K03270	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	3.1.3.45	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03270	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	3.1.3.45	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03270	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	3.1.3.45	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03272	gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase	2.7.1.167 2.7.7.70	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03272	gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase	2.7.1.167 2.7.7.70	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03273	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	3.1.3.82 3.1.3.83	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03275	waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Mucin type O-glycan biosynthesis		K03275	waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	N-glycan biosynthesis		K03275	waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K03275	waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
20_Hydrolysis of polymers	Mannose			K03275	waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
21_Cellular response to stress	Response to osmotic stress			K03275	waaO, rfaI; UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	2.4.1.-	1
20_Hydrolysis of polymers	Xylose			K03337	iolB; 5-deoxy-glucuronate isomerase	5.3.1.30	1
20_Hydrolysis of polymers	Galactose			K03337	iolB; 5-deoxy-glucuronate isomerase	5.3.1.30	1
01_Fermentation	Acetyl-coA fermentation to butyrate II (clostridium)			K03366	butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	1.1.1.- 1.1.1.76 1.1.1.304	1
01_Fermentation	Acetoin biosynthesis	Acetoin biosynthesis III		K03366	butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	1.1.1.- 1.1.1.76 1.1.1.304	1
01_Fermentation	Acetoin biosynthesis	(s,s)-butanediol biosynthesis		K03366	butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	1.1.1.- 1.1.1.76 1.1.1.304	1
01_Fermentation	Acetoin biosynthesis	Meso-butanediol biosynthesis I		K03366	butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	1.1.1.- 1.1.1.76 1.1.1.304	1
01_Fermentation	Acetoin biosynthesis	Superpathway of (R,R)-butanediol biosynthesis		K03366	butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	1.1.1.- 1.1.1.76 1.1.1.304	1
01_Fermentation	Acetoin biosynthesis	Superpathway of 2,3-butanediol biosynthesis		K03366	butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase	1.1.1.- 1.1.1.76 1.1.1.304	1
21_Cellular response to stress	Cellular response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	1
21_Cellular response to stress	Regulation of response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	1
21_Cellular response to stress	Response to osmotic stress			K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA	2.7.13.3	1
21_Cellular response to stress	Cellular response to stress			K03424	tatD; TatD DNase family protein	3.1.21.-	1
01_Fermentation	Lysine fermentation to acetate and butyrate			K03431	glmM; phosphoglucosamine mutase	5.4.2.10	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Murein		K03431	glmM; phosphoglucosamine mutase	5.4.2.10	1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03438	mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase	2.1.1.199	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03438	mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase	2.1.1.199	1
12_Transporters	Major Facilitator superfamily (MFS)	Drug transporters	Drug:h+ antiporter-1 (12 spanner) (DhA1) family [tc:2.A.1.2]	K03445	nepI; MFS transporter, DHA1 family, purine ribonucleoside efflux pump		1
12_Transporters	Major Facilitator superfamily (MFS)	Drug transporters	Drug:h+ antiporter-2 (14 spanner) (DhA2) family [tc:2.A.1.3]	K03446	emrB; MFS transporter, DHA2 family, multidrug resistance protein		1
02_Homoacetogenesis	Reductive acetyl coenzyme A pathway			K03500	rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase	2.1.1.176	1
06_Amino acid utilization biosynthesis metabolism	Amino acid biosynthesis precursor pyruvate and oxaloacetate	Histidine		K03500	rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase	2.1.1.176	1
12_Transporters	Major Facilitator superfamily (MFS)	Organic acid transporters	Anion:cation symporter (Acs) family [tc:2.A.1.14]	K03535	gudP; MFS transporter, ACS family, glucarate transporter		1
21_Cellular response to stress	Cellular response to stress			K03564	BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin	1.11.1.24	1
21_Cellular response to stress	Response to nitrosative stress			K03564	BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin	1.11.1.24	1
21_Cellular response to stress	Cellular response to oxidative stress			K03575	mutY; A/G-specific adenine glycosylase	3.2.2.31	1
21_Cellular response to stress	Cellular response to osmotic stress			K03578	hrpA; ATP-dependent helicase HrpA	3.6.4.13	1
21_Cellular response to stress	Cellular response to osmotic stress			K03579	hrpB; ATP-dependent helicase HrpB	3.6.4.13	1
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase			K03587	ftsI; cell division protein FtsI (penicillin-binding protein 3)	3.4.16.4	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K03587	ftsI; cell division protein FtsI (penicillin-binding protein 3)	3.4.16.4	1
21_Cellular response to stress	Cellular response to oxidative stress			K03648	UNG, UDG; uracil-DNA glycosylase	3.2.2.27	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Lipopolysaccharide biosynthesis		K03669	mdoH; membrane glycosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Mucin type O-glycan biosynthesis		K03669	mdoH; membrane glycosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	N-glycan biosynthesis		K03669	mdoH; membrane glycosyltransferase	2.4.1.-	1
19_Saccharide and derivated synthesis	Polysaccharide biosynthesis and assembly of cell surface structure	Peptidoglycan biosynthesis		K03669	mdoH; membrane glycosyltransferase	2.4.1.-	1
20_Hydrolysis of polymers	Mannose			K03669	mdoH; membrane glycosyltransferase	2.4.1.-	1
21_Cellular response to stress	Response to osmotic stress			K03669	mdoH; membrane glycosyltransferase	2.4.1.-	1
09_Carbohydrate Active enzyme - CAZy	Glycosyltransferase			K03692	E2.4.1.213; glucosylglycerol-phosphate synthase	2.4.1.213	1
21_Cellular response to stress	Cellular response to osmotic stress			K03732	rhlB; ATP-dependent RNA helicase RhlB	3.6.4.13	1
12_Transporters	Major Facilitator superfamily (MFS)	Organic acid transporters	Metabolite:h+ symporter (mhs) family [tc:2.A.1.6]	K03761	kgtP; MFS transporter, MHS family, alpha-ketoglutarate permease		1
12_Transporters	Major Facilitator superfamily (MFS)	Organic acid transporters	Metabolite:h+ symporter (mhs) family [tc:2.A.1.6]	K03762	proP; MFS transporter, MHS family, proline/betaine transporter		1
21_Cellular response to stress	Response to osmotic stress			K03767	PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A)	5.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K03769	ppiC; peptidyl-prolyl cis-trans isomerase C	5.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K03770	ppiD; peptidyl-prolyl cis-trans isomerase D	5.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K03771	surA; peptidyl-prolyl cis-trans isomerase SurA	5.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA	5.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K03773	fklB; FKBP-type peptidyl-prolyl cis-trans isomerase FklB	5.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K03774	slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA	5.2.1.8	1
21_Cellular response to stress	Response to osmotic stress			K03775	slyD; FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5.2.1.8	1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K03778	ldhA; D-lactate dehydrogenase	1.1.1.28	1
01_Fermentation	Heterolactic fermentation			K03778	ldhA; D-lactate dehydrogenase	1.1.1.28	1
01_Fermentation	Mixed acid fermentation			K03778	ldhA; D-lactate dehydrogenase	1.1.1.28	1
01_Fermentation	Pyruvate Fermentation	Pyruvate fermentation to lactate		K03778	ldhA; D-lactate dehydrogenase	1.1.1.28	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K03781	katE, CAT, catB, srpA; catalase	1.11.1.6	1
15_Methylotrophy	Methane oxidation to cO2			K03781	katE, CAT, catB, srpA; catalase	1.11.1.6	1
21_Cellular response to stress	Cellular response to stress			K03781	katE, CAT, catB, srpA; catalase	1.11.1.6	1
21_Cellular response to stress	Response to oxidative stress			K03781	katE, CAT, catB, srpA; catalase	1.11.1.6	1
06_Amino acid utilization biosynthesis metabolism	Phenylalanine metabolism			K03782	katG; catalase-peroxidase	1.11.1.21	1
06_Amino acid utilization biosynthesis metabolism	Tryptophan metabolism			K03782	katG; catalase-peroxidase	1.11.1.21	1
15_Methylotrophy	Methane oxidation to cO2			K03782	katG; catalase-peroxidase	1.11.1.21	1
21_Cellular response to stress	Cellular response to stress			K03782	katG; catalase-peroxidase	1.11.1.21	1
21_Cellular response to stress	Response to oxidative stress			K03782	katG; catalase-peroxidase	1.11.1.21	1
07_Nucleic acid metabolism	Pyrimidine metabolism			K03784	deoD; purine-nucleoside phosphorylase	2.4.2.1	1
07_Nucleic acid metabolism	Purine metabolism			K03784	deoD; purine-nucleoside phosphorylase	2.4.2.1	1
