ID	Function	Gene
TIGR02490	flagellar basal-body rod protein FlgF	flgF
TIGR02491	anaerobic ribonucleoside-triphosphate reductase activating protein	nrdG
TIGR02492	flagellar hook-associated protein FlgK	flgK
TIGR02493	pyruvate formate-lyase 1-activating enzyme	pflA
TIGR02494	glycyl-radical enzyme activating protein	
TIGR02495	anaerobic ribonucleoside-triphosphate reductase activating protein	
TIGR02497	type III secretion apparatus protein, YscI/HrpB, C-terminal domain	
TIGR02498	type III secretion system protein, SsaH family	
TIGR02499	type III secretion apparatus protein, HrpE/YscL family	
TIGR02500	type III secretion apparatus protein, YscD/HrpQ family	
TIGR02501	type III secretion system protein, YseE family	
TIGR02502	type III secretion protein, YscX family	
TIGR02503	type III secretion chaperone SycN	sycN
TIGR02504	ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	
TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent	nrdJ
TIGR02506	ribonucleoside-diphosphate reductase, alpha subunit	
TIGR02507	tetrahydromethanopterin S-methyltransferase, F subunit	mtrF
TIGR02508	type III secretion protein, YscG family	
TIGR02509	type III secretion effector, YopR family	
TIGR02510	ribonucleoside-diphosphate reductase, alpha chain	
TIGR02511	type III secretion effector delivery regulator, TyeA family	
TIGR02512	[FeFe] hydrogenase, group A	
TIGR02513	type III secretion system chaperone, YscB family	
TIGR02514	type III secretion system needle length determinant	
TIGR02515	type IV pilus secretin PilQ	pilQ
TIGR02516	type III secretion outer membrane pore, YscC/HrcC family	
TIGR02517	type II secretion system protein D	gspD
TIGR02518	acetaldehyde dehydrogenase (acetylating)	
TIGR02519	pilus (MSHA type) biogenesis protein MshL	
TIGR02520	type IVB pilus formation outer membrane protein, R64 PilN family	
TIGR02521	type IV pilus biogenesis/stability protein PilW	pilF
TIGR02522	pilus (Caulobacter type) biogenesis lipoprotein CpaD	cpaD
TIGR02523	type IV pilus modification protein PilV	pilV
TIGR02524	Dot/Icm secretion system ATPase DotB	dotB
TIGR02525	plasmid transfer ATPase TraJ	traJ
TIGR02526	PduT-like ethanolamine utilization protein	
TIGR02527	Dot/Icm secretion system protein IcmQ	icmQ
TIGR02528	ethanolamine utilization protein, EutP	eutP
TIGR02529	ethanolamine utilization protein EutJ family protein	
TIGR02530	flagellar operon protein	
TIGR02531	TrpR homolog YerC/YecD	
TIGR02532	prepilin-type N-terminal cleavage/methylation domain	
TIGR02533	type II secretion system protein E	gspE
TIGR02534	muconate and chloromuconate cycloisomerases	
TIGR02535	proposed homoserine kinase	
TIGR02536	ethanolamine utilization protein	
TIGR02537	archaeal flagellin N-terminal-like domain	
TIGR02538	type IV-A pilus assembly ATPase PilB	pilB
TIGR02539	O-phospho-L-seryl-tRNA:Cys-tRNA synthase	pscS
TIGR02540	putative glutathione peroxidase Gpx7	
TIGR02541	flagellar rod assembly protein/muramidase FlgJ	flgJ
TIGR02542	TANFOR domain	
TIGR02543	repeat, TIGR02543 family	
TIGR02544	type III secretion apparatus lipoprotein, YscJ/HrcJ family	
TIGR02546	type III secretion apparatus H+-transporting two-sector ATPase	
TIGR02547	CRISPR type I-E/ECOLI-associated protein CasA/Cse1	casA
TIGR02548	CRISPR type I-E/ECOLI-associated protein CasB/Cse2	casB
TIGR02549	CRISPR-associated DxTHG motif protein	
TIGR02550	flagellar hook-associated protein 3	flgL
TIGR02551	type III secretion apparatus protein, YscQ/HrcQ family	epaO
TIGR02552	type III secretion low calcium response chaperone LcrH/SycD	
TIGR02553	type III effector protein IpaD/SipD/SspD	
TIGR02554	type III secretion apparatus protein PrgH/EprH	eprH
TIGR02555	type III secretion apparatus protein OrgA/MxiK	
TIGR02556	CRISPR-associated protein, TM1802 family	
TIGR02557	type III secretion protein HpaP	
TIGR02558	type III secretion protein HrpB2	
TIGR02559	type III secretion protein HrpB7	
TIGR02560	type III secretion protein HrpB4	
TIGR02561	type III secretion protein HrpB1/HrpK	
TIGR02562	CRISPR-associated helicase Cas3, subtype I-F/YPEST	cas3f
TIGR02563	CRISPR-associated endoribonuclease Cas6/Csy4, subtype I-F/YPEST	cas6f
TIGR02564	CRISPR type I-F/YPEST-associated protein Csy1	csy1
TIGR02565	CRISPR type I-F/YPEST-associated protein Csy2	csy2
TIGR02566	CRISPR type I-F/YPEST-associated protein Csy3	csy3
TIGR02567	type III secretion system chaperone YscW	
TIGR02568	type III secretion regulator YopN/LcrE/InvE/MxiC	
TIGR02569	TIGR02569 family protein	
TIGR02570	CRISPR-associated protein GSU0053/csb1, Dpsyc system	csb1
TIGR02571	ComE operon protein 2	
TIGR02572	type III secretion system regulator LcrR	
TIGR02573	type III secretion protein LcrG	
TIGR02574	putative addiction module component, TIGR02574 family	
TIGR02577	CRISPR-associated protein Cas10/Cmr2, subtype III-B	cas10
TIGR02578	CRISPR-associated protein Cas10/Csm1, subtype III-A/MTUBE	cas10
TIGR02579	CRISPR-associated protein, Csx3 family	csx3
TIGR02580	CRISPR type III-B/RAMP module RAMP protein Cmr4	cmr4
TIGR02581	CRISPR-associated RAMP protein, SSO1426 family	
TIGR02582	CRISPR type III-A/MTUBE-associated RAMP protein Csm3	csm3
TIGR02583	CRISPR-associated protein Cas7/Csa2, subtype I-A/APERN	cas7a
TIGR02584	CRISPR-associated protein, NE0113 family	
TIGR02585	CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/TNEAP	cas7i
TIGR02586	CRISPR-associated protein Cas5/DevS, subtype MYXAN	cas5
TIGR02587	putative integral membrane protein TIGR02587	
TIGR02588	TIGR02588 family protein	
TIGR02589	CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG	cas7c
TIGR02590	CRISPR-associated protein Cas7/Csh2, subtype I-B/HMARI	cas7b
TIGR02591	CRISPR-associated protein Cas8b/Csh1, subtype I-B/HMARI	cas8b
TIGR02592	CRISPR-associated protein Cas5, subtype I-B/HMARI	cas5b
TIGR02593	CRISPR-associated protein Cas5	cas5
TIGR02594	TIGR02594 family protein	
TIGR02595	PEP-CTERM protein-sorting domain	
TIGR02596	Verru_Chthon cassette protein D	vccD
TIGR02597	TIGR02597 family protein	
TIGR02598	Verru_Chthon cassette protein B	vccB
TIGR02599	Verru_Chthon cassette protein C	vccC
TIGR02600	Verru_Chthon cassette protein A	vccA
TIGR02601	autotransporter-associated beta strand repeat	
TIGR02602	exosortase	xrt
TIGR02603	putative heme-binding domain	
TIGR02604	putative membrane-bound dehydrogenase domain	
TIGR02605	putative regulatory protein, FmdB family	
TIGR02606	putative addiction module antidote protein, CC2985 family	
TIGR02607	addiction module antidote protein, HigA family	higA
TIGR02608	delta-60 repeat domain	
TIGR02609	putative addiction module antidote	
TIGR02610	putative polyhydroxyalkanoic acid system protein	
TIGR02611	TIGR02611 family protein	
TIGR02612	mobile mystery protein A	
TIGR02613	mobile mystery protein B	
TIGR02614	cell division protein FtsW	ftsW
TIGR02615	stage V sporulation protein E	spoVE
TIGR02616	tryptophanase leader peptide	tnaC
TIGR02617	tryptophanase	tnaA
TIGR02618	tyrosine phenol-lyase	
TIGR02619	putative CRISPR-associated protein, APE2256 family	
TIGR02620	putative CRISPR-associated protein, VVA1548 family	csx16
TIGR02621	CRISPR-associated helicase Cas3, subtype Dpsyc	cas3
TIGR02622	CDP-glucose 4,6-dehydratase	rfbG
TIGR02623	glucose-1-phosphate cytidylyltransferase	rfbF
TIGR02624	rhamnulose-1-phosphate aldolase	rhaD
TIGR02625	L-rhamnose mutarotase	rhaM
TIGR02627	rhamnulokinase	rhaB
TIGR02628	L-fuculokinase	fucK
TIGR02629	L-rhamnose catabolism isomerase	rhaI
TIGR02630	xylose isomerase	xylA
TIGR02631	xylose isomerase	xylA
TIGR02632	rhamnulose-1-phosphate aldolase/alcohol dehydrogenase	rhaD
TIGR02633	D-xylose ABC transporter, ATP-binding protein	xylG
TIGR02634	D-xylose ABC transporter, D-xylose-binding protein	xylF
TIGR02635	L-rhamnose isomerase	rhaI
TIGR02636	galactose mutarotase	galM
TIGR02637	rhamnose ABC transporter, rhamnose-binding protein	rhaS
TIGR02638	lactaldehyde reductase	fucO
TIGR02639	ATP-dependent Clp protease ATP-binding subunit ClpA	clpA
TIGR02640	gas vesicle protein GvpN	gvpN
TIGR02641	gas vesicle protein GvpC repeat	gvpC
TIGR02642	uncharacterized phage protein	
TIGR02643	thymidine phosphorylase	deoA
TIGR02644	pyrimidine-nucleoside phosphorylase	pdp
TIGR02645	putative thymidine phosphorylase	
TIGR02646	TIGR02646 family protein	
TIGR02647	TIGR02647 family protein	
TIGR02648	DNA replication terminus site-binding protein	tus
TIGR02649	ribonuclease BN	rbn
TIGR02650	ribonuclease Z, Thermotoga type	rnz
TIGR02651	ribonuclease Z	rnz
TIGR02652	TIGR02652 family protein	
TIGR02653	conserved hypothetical protein	
TIGR02654	circadian clock protein KaiB	kaiB
TIGR02655	circadian clock protein KaiC	kaiC
TIGR02656	plastocyanin	petE
TIGR02657	amicyanin	
TIGR02658	methylamine dehydrogenase (amicyanin) heavy chain	mauB
TIGR02659	methylamine dehydrogenase (amicyanin) light chain	mauA
TIGR02660	homocitrate synthase	nifV
TIGR02661	methylamine dehydrogenase accessory protein MauD	mauD
TIGR02662	ADP-ribosyl-[dinitrogen reductase] hydrolase	draG
TIGR02663	nitrogen fixation protein NifX	nifX
TIGR02664	conserved hypothetical protein	
TIGR02665	molybdenum cofactor guanylyltransferase	mobA
TIGR02666	molybdenum cofactor biosynthesis protein A	moaA
TIGR02667	molybdenum cofactor biosynthesis protein B	moaB
TIGR02668	probable molybdenum cofactor biosynthesis protein A	moaA
TIGR02669	SpoIID/LytB domain	
TIGR02670	CRISPR-associated protein Cas8a1/Csx8, subtype I	cas8a1
TIGR02671	CRISPR-associated protein Cas8a2/Csx9, subtype I-A/APERN	cas8a2
TIGR02672	CRISPR type III-A/MTUBE-associated protein Csm6	csm6
TIGR02673	cell division ATP-binding protein FtsE	ftsE
TIGR02674	CRISPR-associated RAMP protein, Csx10 family	csx10
TIGR02675	tape measure domain	
TIGR02677	TIGR02677 family protein	
TIGR02678	TIGR02678 family protein	
TIGR02679	TIGR02679 family protein	
TIGR02680	TIGR02680 family protein	
TIGR02681	phage regulatory protein, Rha family	
TIGR02682	CRISPR-associated protein, Csx11 family	
TIGR02683	putative addiction module killer protein	
TIGR02684	probable addiction module antidote protein	
TIGR02685	pteridine reductase	
TIGR02686	conjugative relaxase domain	
TIGR02687	TIGR02687 family protein	
TIGR02688	TIGR02688 family protein	
TIGR02689	arsenate reductase, glutathione/glutaredoxin type	arsC
TIGR02690	arsenical resistance protein ArsH	arsH
TIGR02691	arsenate reductase (thioredoxin)	arsC
TIGR02692	CCA tRNA nucleotidyltransferase	
TIGR02693	arsenite oxidase, large subunit	
TIGR02694	arsenite oxidase, small subunit	
TIGR02695	azurin	azu
TIGR02696	guanosine pentaphosphate synthetase I/polyribonucleotide nucleotidyltransferase	gpsI
TIGR02697	Wolbachia palindromic element domain	
TIGR02698	copper transport repressor, CopY/TcrY family	
TIGR02699	archaeoflavoprotein AfpA	afpA
TIGR02700	archaeoflavoprotein, MJ0208 family	
TIGR02701	carboxysome shell carbonic anhydrase	
TIGR02702	iron-sulfur cluster biosynthesis transcriptional regulator SufR	sufR
TIGR02703	carboxysome peptide A	
TIGR02704	carboxysome peptide B	
TIGR02705	nucleoside triphosphatase YtkD	ytkD
TIGR02706	phosphate butyryltransferase	ptb
TIGR02707	butyrate kinase	buk
TIGR02708	L-lactate oxidase	lctO
TIGR02709	branched-chain phosphotransacylase	ptb
TIGR02710	CRISPR-associated protein, TIGR02710 family	
TIGR02711	cation/acetate symporter ActP	actP
TIGR02712	urea carboxylase	uca
TIGR02713	allophanate hydrolase	atzF
TIGR02714	ring-opening amidohydrolases	
TIGR02715	amidohydrolase, AtzE family	
TIGR02716	C-20 methyltransferase BchU	bchU
TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain	acs
TIGR02718	siderophore transporter, RhtX/FptX family	
TIGR02719	poly-beta-hydroxybutyrate-responsive repressor	phaQ
TIGR02720	pyruvate oxidase	spxB
TIGR02721	thiamine kinase	thiK
TIGR02722	uncharacterized lipoprotein	
TIGR02723	phenylphosphate carboxylase, alpha subunit	ppcA
TIGR02724	phenylphosphate carboxylase, beta subunit	ppcB
TIGR02725	phenylphosphate carboxylase, gamma subunit	ppcG
TIGR02726	phenylphosphate carboxylase, delta subunit	ppcD
TIGR02727	5-formyltetrahydrofolate cyclo-ligase	
TIGR02728	spore coat protein GerQ	gerQ
TIGR02729	Obg family GTPase CgtA	cgtA
TIGR02730	carotene isomerase	crtH
TIGR02731	phytoene desaturase	pds
TIGR02732	9,9'-di-cis-zeta-carotene desaturase	zds
TIGR02733	C-3',4' desaturase CrtD	crtD
TIGR02734	phytoene desaturase	crtI
TIGR02735	phosphoribosylaminoimidazole-succinocarboxamide synthase	purC
TIGR02736	cytochrome c oxidase, cbb3-type, CcoQ subunit	
TIGR02737	cytochrome c oxidase assembly factor CtaG	ctaG
TIGR02738	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB	trbB
TIGR02739	type-F conjugative transfer system pilin assembly protein TraF	traF
TIGR02740	TraF-like protein	
TIGR02741	type-F conjugative transfer system pilin chaperone TraQ	traQ
TIGR02742	type-F conjugative transfer system pilin assembly protein TrbC	trbC
TIGR02743	type-F conjugative transfer system protein TraW	traW
TIGR02744	type-F conjugative transfer system protein TrbI	trbI
TIGR02745	cytochrome c oxidase accessory protein CcoG	ccoG
TIGR02746	type-IV secretion system protein TraC	traC
TIGR02747	type IV conjugative transfer system protein TraV	traV
TIGR02748	heptaprenyl diphosphate synthase component II	hepT
TIGR02749	solanesyl diphosphate synthase	sds
TIGR02750	type-F conjugative transfer system mating-pair stabilization protein TraN	traN
TIGR02751	phosphoenolpyruvate carboxylase	ppcA
TIGR02752	demethylmenaquinone methyltransferase	menG
TIGR02753	superoxide dismutase, Ni	sodN
TIGR02754	nickel-type superoxide dismutase maturation protease	sodX
TIGR02755	type-F conjugative transfer system pilin acetylase TraX	traX
TIGR02756	type-F conjugative transfer system secretin TraK	traK
TIGR02757	TIGR02757 family protein	
TIGR02758	type IV conjugative transfer system pilin TraA	traA
TIGR02759	type IV conjugative transfer system coupling protein TraD	traD
TIGR02760	conjugative transfer relaxase protein TraI	traI
TIGR02761	type IV conjugative transfer system protein TraE	traE
TIGR02762	type IV conjugative transfer system protein TraL	traL
TIGR02763	scaffolding protein	
TIGR02764	polysaccharide deacetylase family sporulation protein PdaB	pdaB
TIGR02765	cryptochrome, DASH family	
TIGR02766	cryptochrome, plant family	
TIGR02767	Ti-type conjugative transfer system protein TraG	traG
TIGR02768	Ti-type conjugative transfer relaxase TraA	traA
TIGR02769	nickel import ATP-binding protein NikE	nikE
TIGR02770	nickel import ATP-binding protein NikD	nikD
TIGR02771	conjugative transfer signal peptidase TraF	traF
TIGR02772	Ku protein	
TIGR02773	helicase-exonuclease AddAB, AddB subunit	addB
TIGR02774	ATP-dependent nuclease subunit B	rexB
TIGR02775	P-type conjugative transfer protein TrbG	trbG
TIGR02776	DNA ligase D	ligD
TIGR02777	DNA ligase D, 3'-phosphoesterase domain	ligD
TIGR02778	DNA ligase D, polymerase domain	ligD
TIGR02779	DNA ligase D, ligase domain	ligD
TIGR02780	P-type conjugative transfer protein TrbJ	trbJ
TIGR02781	P-type conjugative transfer protein VirB9	virB9
TIGR02782	P-type conjugative transfer ATPase TrbB	trbB
TIGR02783	P-type conjugative transfer protein TrbL	trbL
TIGR02784	double-strand break repair helicase AddA	addA
TIGR02785	helicase-exonuclease AddAB, AddA subunit	addA
TIGR02786	double-strand break repair protein AddB	addB
TIGR02787	GTP-sensing transcriptional pleiotropic repressor CodY	codY
TIGR02788	P-type DNA transfer ATPase VirB11	virB11
TIGR02789	nickel ABC transporter, permease subunit NikB	nikB
TIGR02790	nickel ABC transporter, permease subunit NikC	nikC
TIGR02791	P-type DNA transfer protein VirB5	virB5
TIGR02792	protocatechuate 4,5-dioxygenase, alpha subunit	ligA
TIGR02793	nickel-responsive transcriptional regulator NikR	nikR
TIGR02794	protein TolA	tolA
TIGR02795	tol-pal system protein YbgF	ygbF
TIGR02796	protein TolQ	tolQ
TIGR02797	tonB-system energizer ExbB	exbB
TIGR02798	4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase	ligK
TIGR02799	tol-pal system-associated acyl-CoA thioesterase	ybgC
TIGR02800	Tol-Pal system beta propeller repeat protein TolB	tolB
TIGR02801	protein TolR	tolR
TIGR02802	peptidoglycan-associated lipoprotein	pal
TIGR02803	TonB system transport protein ExbD	exbD
TIGR02804	TonB system transport protein ExbD	expD
TIGR02805	tonB-system energizer ExbB	exbB
TIGR02806	clostripain	cloSI
TIGR02807	CRISPR-associated protein Cas6, subtype MYXAN	cas6
TIGR02808	TIGR02808 family protein	
TIGR02809	phasin family protein	
TIGR02810	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit	
TIGR02811	formate dehydrogenase region TAT target	
TIGR02812	fatty acid metabolism transcriptional regulator FadR	fadR
TIGR02813	polyketide-type polyunsaturated fatty acid synthase PfaA	pfaA
TIGR02814	PfaD family protein	
TIGR02815	putative sugar isomerase, AgaS family	
TIGR02816	PfaB family protein	
TIGR02817	zinc-binding alcohol dehydrogenase family protein	
TIGR02818	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	
TIGR02819	formaldehyde dehydrogenase, glutathione-independent	fdhA
TIGR02820	S-(hydroxymethyl)glutathione synthase	gfa
TIGR02821	S-formylglutathione hydrolase	fghA
TIGR02822	zinc-binding alcohol dehydrogenase family protein	
TIGR02823	putative quinone oxidoreductase, YhdH/YhfP family	
TIGR02824	putative NAD(P)H quinone oxidoreductase, PIG3 family	
TIGR02825	leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase	
TIGR02826	anaerobic ribonucleoside-triphosphate reductase activating protein	nrdG
TIGR02827	anaerobic ribonucleoside-triphosphate reductase	nrdD
TIGR02828	putative membrane fusion protein	
TIGR02829	stage III sporulation protein AE	spoIIIAE
TIGR02830	stage III sporulation protein AG	spoIIIAG
TIGR02831	stage II sporulation protein M	spoIIM
TIGR02832	sporulation protein YunB	yunB
TIGR02833	stage III sporulation protein AB	spoIIIAB
TIGR02834	putative sporulation protein YtxC	ytxC
TIGR02835	RNA polymerase sigma-E factor	sigE
TIGR02836	stage IV sporulation protein A	spoIVA
TIGR02837	stage II sporulation protein R	spoIIR
TIGR02838	stage V sporulation protein AC	spoVAC
TIGR02839	stage V sporulation protein AE	spoVAE
TIGR02840	putative sporulation protein YtaF	ytaF
TIGR02841	putative sporulation protein YyaC	yyaC
TIGR02842	cytochrome o ubiquinol oxidase, subunit III	cyoC
TIGR02843	cytochrome o ubiquinol oxidase, subunit I	cyoB
TIGR02844	sporulation transcriptional regulator SpoIIID	spoIIID
TIGR02845	stage V sporulation protein AD	spoVAD
TIGR02846	RNA polymerase sigma-K factor	sigK
TIGR02847	cytochrome o ubiquinol oxidase subunit IV	cyoD
TIGR02848	stage III sporulation protein AC	spoIIIAC
TIGR02849	stage III sporulation protein AD	spoIIIAD
TIGR02850	RNA polymerase sigma-G factor	sigG
TIGR02851	stage V sporulation protein T	spoVT
TIGR02852	dipicolinic acid synthetase, B subunit	dpaB
TIGR02853	dipicolinic acid synthetase, A subunit	dpaA
TIGR02854	sigma-E processing peptidase SpoIIGA	spoIIGA
TIGR02855	sporulation peptidase YabG	yabG
TIGR02856	sporulation protein YqfC	yqfC
TIGR02857	thiol reductant ABC exporter, CydD subunit	cydD
TIGR02858	stage III sporulation protein AA	spoIIIAA
TIGR02859	RNA polymerase sigma-H factor	sigH
TIGR02860	stage IV sporulation protein B	spoIVB
TIGR02861	small acid-soluble spore protein, H-type	
TIGR02862	pro-sigmaK processing inhibitor BofA	bofA
TIGR02863	small, acid-soluble spore protein, SspJ family	sspJ
TIGR02864	small, acid-soluble spore protein O	sspO
TIGR02865	stage II sporulation protein E	spoIIE
TIGR02866	cytochrome c oxidase, subunit II	coxB
TIGR02867	stage II sporulation protein P	spoIIP
TIGR02868	thiol reductant ABC exporter, CydC subunit	cydC
TIGR02869	spore cortex-lytic enzyme	sleB
TIGR02870	stage II sporulation protein D	spoIID
TIGR02871	sporulation integral membrane protein YlbJ	ylbJ
TIGR02872	sporulation integral membrane protein YtvI	ytvI
TIGR02873	probable sporulation protein, polysaccharide deacetylase family	ylxY
TIGR02874	sporulation protein YtfJ	ytfJ
TIGR02875	sporulation transcription factor Spo0A	spo0A
TIGR02876	sporulation protein YqfD	yqfD
TIGR02877	sporulation protein YhbH	yhbH
TIGR02878	sporulation protein YpjB	ypjB
TIGR02880	CbbX protein	cbbX
TIGR02881	stage V sporulation protein K	spoVK
TIGR02882	cytochrome aa3 quinol oxidase, subunit I	qoxB
TIGR02883	N-acetylmuramoyl-L-alanine amidase CwlD	cwlD
TIGR02884	delta-lactam-biosynthetic de-N-acetylase	pdaA
TIGR02885	RNA polymerase sigma-F factor	sigF
TIGR02886	anti-sigma F factor antagonist	spoIIAA
TIGR02887	germination protein, Ger(x)C family	
TIGR02888	sporulation protein, YlmC/YmxH family	
TIGR02889	germination protein YpeB	ypeB
TIGR02890	regulatory protein, yteA family	
TIGR02891	cytochrome c oxidase, subunit I	ctaD
TIGR02892	sporulation protein YabP	yabP
TIGR02893	spore cortex biosynthesis protein YabQ	yabQ
TIGR02894	transcription factor, RsfA family	
TIGR02895	RNA polymerase sigma-I factor	sigI
TIGR02896	stage III sporulation protein AF	spoIIIAF
TIGR02897	cytochrome aa3 quinol oxidase, subunit III	qoxC
TIGR02898	sporulation lipoprotein, YhcN/YlaJ family	
TIGR02899	spore coat assembly protein SafA	safA
TIGR02900	stage V sporulation protein B	spoVB
TIGR02901	cytochrome aa3 quinol oxidase, subunit IV	qoxD
TIGR02902	ATP-dependent protease LonB	lonB
TIGR02903	ATP-dependent protease, Lon family	lonC
TIGR02904	spore coat protein YsxE	ysxE
TIGR02905	spore coat protein YutH	yutH
TIGR02906	spore coat protein, CotS family	
TIGR02907	stage VI sporulation protein D	spoVID
TIGR02908	cytochrome c oxidase, subunit IVB	ctaF
TIGR02909	uncharacterized protein, YkwD family	
TIGR02910	sulfite reductase, subunit A	asrA
TIGR02911	sulfite reductase, subunit B	asrB
TIGR02912	sulfite reductase, subunit C	asrC
TIGR02913	probable extracellular repeat, HAF family	
TIGR02914	EpsI family protein	epsI
TIGR02915	PEP-CTERM-box response regulator transcription factor	prsR
TIGR02916	putative PEP-CTERM system histidine kinase	prsK
TIGR02917	putative PEP-CTERM system TPR-repeat lipoprotein	prsT
TIGR02918	accessory Sec system glycosylation protein GtfA	gtfA
TIGR02919	accessory Sec system glycosyltransferase GtfB	gtfB
TIGR02920	accessory Sec system translocase SecY2	secY2
TIGR02921	PEP-CTERM family integral membrane protein	
TIGR02922	TIGR02922 family protein	
TIGR02923	ATP synthase A1, C subunit	ahaC
TIGR02924	isocitrate dehydrogenase	icd
TIGR02925	peptidyl-prolyl cis-trans isomerase, EpsD family	epsD
TIGR02926	ATP synthase archaeal, H subunit	ahaH
TIGR02927	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	sucB
TIGR02928	orc1/cdc6 family replication initiation protein	
TIGR02929	Fe-only nitrogenase, delta subunit	anfG
TIGR02930	V-containing nitrogenase, delta subunit	vnfG
TIGR02931	Fe-only nitrogenase, beta subunit	anfK
TIGR02932	V-containing nitrogenase, beta subunit	vnfK
TIGR02933	nitrogen fixation protein NifM	nifM
TIGR02934	probable nitrogen fixation protein FixT	nifT
TIGR02935	probable nitrogen fixation protein	
TIGR02936	ferredoxin III, nif-specific	fdxB
TIGR02937	RNA polymerase sigma factor, sigma-70 family	
TIGR02938	nitrogen fixation negative regulator NifL	nifL
TIGR02939	RNA polymerase sigma factor RpoE	rpoE
TIGR02940	Fe-only nitrogenase accessory protein AnfO	anfO
TIGR02941	RNA polymerase sigma-B factor	sigB
TIGR02943	RNA polymerase sigma-70 factor, TIGR02943 family	
TIGR02944	FeS assembly SUF system regulator	
TIGR02945	FeS assembly SUF system protein	
TIGR02946	acyltransferase, WS/DGAT/MGAT	
TIGR02947	RNA polymerase sigma-70 factor, TIGR02947 family	
TIGR02948	RNA polymerase sigma-W factor	sigW
TIGR02949	anti-sigma factor, TIGR02949 family	
TIGR02950	RNA polymerase sigma factor, SigM family	
TIGR02951	dimethylsulfoxide reductase, chain B	dmsB
TIGR02952	RNA polymerase sigma-70 factor, TIGR02952 family	
TIGR02953	pentapeptide MXKDX repeat protein	
TIGR02954	RNA polymerase sigma-70 factor, TIGR02954 family	
TIGR02955	TMAO reductase system periplasmic protein TorT	torT
TIGR02956	TMAO reductase sytem sensor TorS	torS
TIGR02957	RNA polymerase sigma-70 factor, TIGR02957 family	
TIGR02959	RNA polymerase sigma factor, SigZ family	sigZ
TIGR02960	RNA polymerase sigma-70 factor, TIGR02960 family	
TIGR02961	allantoicase	alc
TIGR02962	hydroxyisourate hydrolase	uraH
TIGR02963	xanthine dehydrogenase, small subunit	xdhA
TIGR02964	xanthine dehydrogenase accessory protein XdhC	xdhC
TIGR02965	xanthine dehydrogenase, molybdopterin binding subunit	xdhB
TIGR02966	phosphate regulon sensor kinase PhoR	phoR
TIGR02967	guanine deaminase	guaD
TIGR02968	succinate dehydrogenase, hydrophobic membrane anchor protein	sdhD
TIGR02969	aldehyde oxidase	
TIGR02970	succinate dehydrogenase, cytochrome b556 subunit	sdhC
TIGR02971	ABC exporter membrane fusion protein, DevB family	
TIGR02972	trimethylamine N-oxide reductase system, TorE protein	torE
TIGR02973	periplasmic nitrate reductase, NapE protein	napE
TIGR02974	psp operon transcriptional activator	pspF
TIGR02975	phage shock protein G	pspG
TIGR02976	phage shock protein B	pspB
TIGR02977	phage shock protein A	pspA
TIGR02978	phage shock protein C	pspC
TIGR02979	phage shock protein PspD	pspD
TIGR02980	RNA polymerase sigma-70 factor, sigma-B/F/G subfamily	
TIGR02981	phage shock operon rhodanese PspE	pspE
TIGR02982	ABC exporter ATP-binding subunit, DevA family	
TIGR02983	RNA polymerase sigma-70 factor, sigma-E family	
TIGR02984	RNA polymerase sigma-70 factor, Planctomycetaceae-specific subfamily 1	
TIGR02985	RNA polymerase sigma-70 factor, Bacteroides expansion family 1	
TIGR02986	type II restriction endonuclease, Alw26I/Eco31I/Esp3I family	
TIGR02987	type II restriction m6 adenine DNA methyltransferase, Alw26I/Eco31I/Esp3I family	
TIGR02988	S4 domain protein YaaA	yaaA
TIGR02989	RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family	
TIGR02990	ectoine utilization protein EutA	eutA
TIGR02991	ectoine utilization protein EutB	eutB
TIGR02992	ectoine utilization protein EutC	eutC
TIGR02993	ectoine utilization protein EutD	eutD
TIGR02994	ectoine utilization protein EutE	eutE
TIGR02995	ectoine/hydroxyectoine ABC transporter solute-binding protein EhuB	ehuB
TIGR02996	repeat-companion domain TIGR02996	
TIGR02997	RNA polymerase sigma factor, cyanobacterial RpoD-like family	
TIGR02998	regulator of ribonuclease activity A	rraA
TIGR02999	RNA polymerase sigma factor, TIGR02999 family	
TIGR03000	Planctomycetes uncharacterized domain TIGR03000	
TIGR03001	RNA polymerase sigma-70 factor, Myxococcales family 1	
TIGR03002	lipopolysaccharide transport periplasmic protein LptA	lptA
TIGR03003	ectoine/hydroxyectoine ABC transporter, permease protein EhuD	ehuD
TIGR03004	ectoine/hydroxyectoine ABC transporter, permease protein EhuC	ehuC
TIGR03005	ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA	ehuA
TIGR03006	polysaccharide deacetylase family protein, PEP-CTERM locus subfamily	
