L1	ID	Function	EC
unknown function	phrog_92397	NA	
unknown function	phrog_92398	NA	
unknown function	phrog_92399	NA	
unknown function	phrog_92400	NA	
unknown function	phrog_92401	NA	
unknown function	phrog_92402	NA	
unknown function	phrog_92403	NA	
unknown function	phrog_92404	NA	
unknown function	phrog_92405	NA	
unknown function	phrog_92406	NA	
unknown function	phrog_92407	NA	
unknown function	phrog_92408	NA	
unknown function	phrog_92409	NA	
unknown function	phrog_92410	NA	
unknown function	phrog_92411	NA	
unknown function	phrog_92412	NA	
unknown function	phrog_92413	NA	
unknown function	phrog_92414	NA	
unknown function	phrog_92415	NA	
unknown function	phrog_92416	NA	
unknown function	phrog_92417	NA	
unknown function	phrog_92418	NA	
unknown function	phrog_92419	NA	
unknown function	phrog_92420	NA	
unknown function	phrog_92421	NA	
unknown function	phrog_92422	NA	
unknown function	phrog_92423	NA	
unknown function	phrog_92424	NA	
unknown function	phrog_92425	NA	
unknown function	phrog_92426	NA	
unknown function	phrog_92427	NA	
unknown function	phrog_92428	NA	
unknown function	phrog_92429	NA	
unknown function	phrog_92430	NA	
unknown function	phrog_92431	NA	
unknown function	phrog_92432	NA	
unknown function	phrog_92433	NA	
unknown function	phrog_92434	NA	
unknown function	phrog_92435	NA	
unknown function	phrog_92436	NA	
unknown function	phrog_92437	NA	
unknown function	phrog_92438	NA	
unknown function	phrog_92439	NA	
unknown function	phrog_92440	NA	
unknown function	phrog_92441	NA	
unknown function	phrog_92442	NA	
unknown function	phrog_92443	NA	
unknown function	phrog_92444	NA	
unknown function	phrog_92445	NA	
unknown function	phrog_92446	NA	
unknown function	phrog_92447	NA	
unknown function	phrog_92448	NA	
unknown function	phrog_92449	NA	
unknown function	phrog_92450	NA	
unknown function	phrog_92451	NA	
unknown function	phrog_92452	NA	
unknown function	phrog_92453	NA	
unknown function	phrog_92454	NA	
unknown function	phrog_92455	NA	
unknown function	phrog_92456	NA	
unknown function	phrog_92457	NA	
unknown function	phrog_92458	NA	
unknown function	phrog_92459	NA	
unknown function	phrog_92460	NA	
unknown function	phrog_92461	NA	
unknown function	phrog_92462	NA	
unknown function	phrog_92463	NA	
unknown function	phrog_92464	NA	
unknown function	phrog_92465	NA	
unknown function	phrog_92466	NA	
unknown function	phrog_92467	NA	
unknown function	phrog_92468	NA	
unknown function	phrog_92469	NA	
unknown function	phrog_92470	NA	
unknown function	phrog_92471	NA	
unknown function	phrog_92472	NA	
unknown function	phrog_92473	NA	
unknown function	phrog_92474	NA	
unknown function	phrog_92475	NA	
unknown function	phrog_92476	NA	
unknown function	phrog_92477	NA	
unknown function	phrog_92478	NA	
unknown function	phrog_92479	NA	
unknown function	phrog_92480	NA	
unknown function	phrog_92481	NA	
unknown function	phrog_92482	NA	
unknown function	phrog_92483	NA	
unknown function	phrog_92484	NA	
unknown function	phrog_92485	NA	
unknown function	phrog_92486	NA	
unknown function	phrog_92487	NA	
unknown function	phrog_92488	NA	
unknown function	phrog_92489	NA	
unknown function	phrog_92490	NA	
unknown function	phrog_92491	NA	
unknown function	phrog_92492	NA	
unknown function	phrog_92493	NA	
unknown function	phrog_92494	NA	
unknown function	phrog_92495	NA	
unknown function	phrog_92496	NA	
unknown function	phrog_92497	NA	
unknown function	phrog_92498	NA	
unknown function	phrog_92499	NA	
unknown function	phrog_92500	NA	
unknown function	phrog_92501	NA	
unknown function	phrog_92502	NA	
unknown function	phrog_92503	NA	
unknown function	phrog_92504	NA	
unknown function	phrog_92505	NA	
unknown function	phrog_92506	NA	
unknown function	phrog_92507	NA	
unknown function	phrog_92508	NA	
unknown function	phrog_92509	NA	
unknown function	phrog_92510	NA	
unknown function	phrog_92511	NA	
unknown function	phrog_92512	NA	
unknown function	phrog_92513	NA	
unknown function	phrog_92514	NA	
unknown function	phrog_92515	NA	
unknown function	phrog_92516	NA	
unknown function	phrog_92517	NA	
unknown function	phrog_92518	NA	
unknown function	phrog_92519	NA	
unknown function	phrog_92520	NA	
unknown function	phrog_92521	NA	
transcription regulation	phrog_92522	RinB-like transcriptional activator	
unknown function	phrog_92523	NA	
unknown function	phrog_92524	NA	
unknown function	phrog_92525	NA	
unknown function	phrog_92526	NA	
unknown function	phrog_92527	NA	
unknown function	phrog_92528	NA	
unknown function	phrog_92529	NA	
unknown function	phrog_92530	NA	
unknown function	phrog_92531	NA	
unknown function	phrog_92532	NA	
unknown function	phrog_92533	NA	
unknown function	phrog_92534	NA	
unknown function	phrog_92535	NA	
unknown function	phrog_92536	NA	
unknown function	phrog_92537	NA	
unknown function	phrog_92538	NA	
unknown function	phrog_92539	NA	
unknown function	phrog_92540	NA	
unknown function	phrog_92541	NA	
unknown function	phrog_92542	NA	
unknown function	phrog_92543	NA	
unknown function	phrog_92544	NA	
unknown function	phrog_92545	NA	
unknown function	phrog_92546	NA	
unknown function	phrog_92547	NA	
unknown function	phrog_92548	NA	
unknown function	phrog_92549	NA	
unknown function	phrog_92550	NA	
unknown function	phrog_92551	NA	
unknown function	phrog_92552	NA	
unknown function	phrog_92553	NA	
unknown function	phrog_92554	NA	
unknown function	phrog_92555	NA	
unknown function	phrog_92556	NA	
unknown function	phrog_92557	NA	
unknown function	phrog_92558	NA	
unknown function	phrog_92559	NA	
unknown function	phrog_92560	NA	
unknown function	phrog_92561	NA	
unknown function	phrog_92562	NA	
unknown function	phrog_92563	NA	
unknown function	phrog_92564	NA	
unknown function	phrog_92565	NA	
unknown function	phrog_92566	NA	
unknown function	phrog_92567	NA	
unknown function	phrog_92568	NA	
unknown function	phrog_92569	NA	
unknown function	phrog_92570	NA	
unknown function	phrog_92571	NA	
unknown function	phrog_92572	NA	
unknown function	phrog_92573	NA	
unknown function	phrog_92574	NA	
unknown function	phrog_92575	NA	
unknown function	phrog_92576	NA	
unknown function	phrog_92577	NA	
unknown function	phrog_92578	NA	
unknown function	phrog_92579	NA	
unknown function	phrog_92580	NA	
unknown function	phrog_92581	NA	
unknown function	phrog_92582	NA	
unknown function	phrog_92583	NA	
unknown function	phrog_92584	NA	
unknown function	phrog_92585	NA	
unknown function	phrog_92586	NA	
unknown function	phrog_92587	NA	
unknown function	phrog_92588	NA	
unknown function	phrog_92589	NA	
unknown function	phrog_92590	NA	
unknown function	phrog_92591	NA	
unknown function	phrog_92592	NA	
unknown function	phrog_92593	NA	
unknown function	phrog_92594	NA	
unknown function	phrog_92595	NA	
unknown function	phrog_92596	NA	
unknown function	phrog_92597	NA	
unknown function	phrog_92598	NA	
unknown function	phrog_92599	NA	
unknown function	phrog_92600	NA	
unknown function	phrog_92601	NA	
unknown function	phrog_92602	NA	
unknown function	phrog_92603	NA	
unknown function	phrog_92604	NA	
unknown function	phrog_92605	NA	
unknown function	phrog_92606	NA	
lysis	phrog_92607	holin	
unknown function	phrog_92608	NA	
unknown function	phrog_92609	NA	
unknown function	phrog_92610	NA	
unknown function	phrog_92611	NA	
unknown function	phrog_92612	NA	
unknown function	phrog_92613	NA	
unknown function	phrog_92614	NA	
unknown function	phrog_92615	NA	
unknown function	phrog_92616	NA	
unknown function	phrog_92617	NA	
unknown function	phrog_92618	NA	
unknown function	phrog_92619	NA	
unknown function	phrog_92620	NA	
unknown function	phrog_92621	NA	
unknown function	phrog_92622	NA	
unknown function	phrog_92623	NA	
unknown function	phrog_92624	NA	
unknown function	phrog_92625	NA	
unknown function	phrog_92626	NA	
unknown function	phrog_92627	NA	
unknown function	phrog_92628	NA	
unknown function	phrog_92629	NA	
unknown function	phrog_92630	NA	
unknown function	phrog_92631	NA	
unknown function	phrog_92632	NA	
unknown function	phrog_92633	NA	
unknown function	phrog_92634	NA	
unknown function	phrog_92635	NA	
unknown function	phrog_92636	NA	
unknown function	phrog_92637	NA	
unknown function	phrog_92638	NA	
unknown function	phrog_92639	NA	
unknown function	phrog_92640	NA	
unknown function	phrog_92641	NA	
unknown function	phrog_92642	NA	
unknown function	phrog_92643	NA	
unknown function	phrog_92644	NA	
unknown function	phrog_92645	NA	
unknown function	phrog_92646	NA	
unknown function	phrog_92647	NA	
unknown function	phrog_92648	NA	
unknown function	phrog_92649	NA	
unknown function	phrog_92650	NA	
unknown function	phrog_92651	NA	
unknown function	phrog_92652	NA	
unknown function	phrog_92653	NA	
unknown function	phrog_92654	NA	
unknown function	phrog_92655	NA	
unknown function	phrog_92656	NA	
unknown function	phrog_92657	NA	
unknown function	phrog_92658	NA	
unknown function	phrog_92659	NA	
unknown function	phrog_92660	NA	
unknown function	phrog_92661	NA	
unknown function	phrog_92662	NA	
unknown function	phrog_92663	NA	
unknown function	phrog_92664	NA	
unknown function	phrog_92665	NA	
unknown function	phrog_92666	NA	
unknown function	phrog_92667	NA	
unknown function	phrog_92668	NA	
unknown function	phrog_92669	NA	
unknown function	phrog_92670	NA	
unknown function	phrog_92671	NA	
lysis	phrog_92672	holin/anti-holin	
unknown function	phrog_92673	NA	
unknown function	phrog_92674	NA	
unknown function	phrog_92675	NA	
unknown function	phrog_92676	NA	
unknown function	phrog_92677	NA	
unknown function	phrog_92678	NA	
unknown function	phrog_92679	NA	
unknown function	phrog_92680	NA	
unknown function	phrog_92681	NA	
unknown function	phrog_92682	NA	
unknown function	phrog_92683	NA	
unknown function	phrog_92684	NA	
unknown function	phrog_92685	NA	
unknown function	phrog_92686	NA	
unknown function	phrog_92687	NA	
unknown function	phrog_92688	NA	
unknown function	phrog_92689	NA	
unknown function	phrog_92690	NA	
unknown function	phrog_92691	NA	
unknown function	phrog_92692	NA	
unknown function	phrog_92693	NA	
unknown function	phrog_92694	NA	
unknown function	phrog_92695	NA	
unknown function	phrog_92696	NA	
unknown function	phrog_92697	NA	
unknown function	phrog_92698	NA	
unknown function	phrog_92699	NA	
unknown function	phrog_92700	NA	
unknown function	phrog_92701	NA	
unknown function	phrog_92702	NA	
unknown function	phrog_92703	NA	
unknown function	phrog_92704	NA	
unknown function	phrog_92705	NA	
unknown function	phrog_92706	NA	
unknown function	phrog_92707	NA	
unknown function	phrog_92708	NA	
unknown function	phrog_92709	NA	
unknown function	phrog_92710	NA	
unknown function	phrog_92711	NA	
unknown function	phrog_92712	NA	
unknown function	phrog_92713	NA	
unknown function	phrog_92714	NA	
unknown function	phrog_92715	NA	
unknown function	phrog_92716	NA	
unknown function	phrog_92717	NA	
unknown function	phrog_92718	NA	
unknown function	phrog_92719	NA	
unknown function	phrog_92720	NA	
unknown function	phrog_92721	NA	
unknown function	phrog_92722	NA	
unknown function	phrog_92723	NA	
unknown function	phrog_92724	NA	
unknown function	phrog_92725	NA	
unknown function	phrog_92726	NA	
unknown function	phrog_92727	NA	
unknown function	phrog_92728	NA	
unknown function	phrog_92729	NA	
unknown function	phrog_92730	NA	
unknown function	phrog_92731	NA	
unknown function	phrog_92732	NA	
unknown function	phrog_92733	NA	
unknown function	phrog_92734	NA	
unknown function	phrog_92735	NA	
unknown function	phrog_92736	NA	
unknown function	phrog_92737	NA	
unknown function	phrog_92738	NA	
unknown function	phrog_92739	NA	
unknown function	phrog_92740	NA	
unknown function	phrog_92741	NA	
unknown function	phrog_92742	NA	
unknown function	phrog_92743	NA	
unknown function	phrog_92744	NA	
unknown function	phrog_92745	NA	
unknown function	phrog_92746	NA	
unknown function	phrog_92747	NA	
unknown function	phrog_92748	NA	
unknown function	phrog_92749	NA	
unknown function	phrog_92750	NA	
unknown function	phrog_92751	NA	
unknown function	phrog_92752	NA	
unknown function	phrog_92753	NA	
unknown function	phrog_92754	NA	
unknown function	phrog_92755	NA	
unknown function	phrog_92756	NA	
unknown function	phrog_92757	NA	
unknown function	phrog_92758	NA	
unknown function	phrog_92759	NA	
unknown function	phrog_92760	NA	
unknown function	phrog_92761	NA	
unknown function	phrog_92762	NA	
unknown function	phrog_92763	NA	
unknown function	phrog_92764	NA	
unknown function	phrog_92765	NA	
unknown function	phrog_92766	NA	
unknown function	phrog_92767	NA	
unknown function	phrog_92768	NA	
unknown function	phrog_92769	NA	
unknown function	phrog_92770	NA	
unknown function	phrog_92771	NA	
unknown function	phrog_92772	NA	
unknown function	phrog_92773	NA	
unknown function	phrog_92774	NA	
unknown function	phrog_92775	NA	
unknown function	phrog_92776	NA	
unknown function	phrog_92777	NA	
unknown function	phrog_92778	NA	
unknown function	phrog_92779	NA	
unknown function	phrog_92780	NA	
unknown function	phrog_92781	NA	
unknown function	phrog_92782	NA	
unknown function	phrog_92783	NA	
unknown function	phrog_92784	NA	
unknown function	phrog_92785	NA	
unknown function	phrog_92786	NA	
unknown function	phrog_92787	NA	
unknown function	phrog_92788	NA	
unknown function	phrog_92789	NA	
unknown function	phrog_92790	NA	
unknown function	phrog_92791	NA	
unknown function	phrog_92792	NA	
unknown function	phrog_92793	NA	
unknown function	phrog_92794	NA	
unknown function	phrog_92795	NA	
unknown function	phrog_92796	NA	
unknown function	phrog_92797	NA	
unknown function	phrog_92798	NA	
unknown function	phrog_92799	NA	
unknown function	phrog_92800	NA	
unknown function	phrog_92801	NA	
unknown function	phrog_92802	NA	
unknown function	phrog_92803	NA	
unknown function	phrog_92804	NA	
unknown function	phrog_92805	NA	
unknown function	phrog_92806	NA	
unknown function	phrog_92807	NA	
unknown function	phrog_92808	NA	
unknown function	phrog_92809	NA	
unknown function	phrog_92810	NA	
unknown function	phrog_92811	NA	
unknown function	phrog_92812	NA	
unknown function	phrog_92813	NA	
unknown function	phrog_92814	NA	
unknown function	phrog_92815	NA	
unknown function	phrog_92816	NA	
unknown function	phrog_92817	NA	
unknown function	phrog_92818	NA	
unknown function	phrog_92819	NA	
unknown function	phrog_92820	NA	
unknown function	phrog_92821	NA	
unknown function	phrog_92822	NA	
unknown function	phrog_92823	NA	
unknown function	phrog_92824	NA	
unknown function	phrog_92825	NA	
unknown function	phrog_92826	NA	
unknown function	phrog_92827	NA	
unknown function	phrog_92828	NA	
unknown function	phrog_92829	NA	
unknown function	phrog_92830	NA	
unknown function	phrog_92831	NA	
unknown function	phrog_92832	NA	
unknown function	phrog_92833	NA	
unknown function	phrog_92834	NA	
unknown function	phrog_92835	NA	
unknown function	phrog_92836	NA	
unknown function	phrog_92837	NA	
unknown function	phrog_92838	NA	
unknown function	phrog_92839	NA	
unknown function	phrog_92840	NA	
unknown function	phrog_92841	NA	
unknown function	phrog_92842	NA	
unknown function	phrog_92843	NA	
unknown function	phrog_92844	NA	
unknown function	phrog_92845	NA	
unknown function	phrog_92846	NA	
unknown function	phrog_92847	NA	
unknown function	phrog_92848	NA	
unknown function	phrog_92849	NA	
unknown function	phrog_92850	NA	
unknown function	phrog_92851	NA	
unknown function	phrog_92852	NA	
unknown function	phrog_92853	NA	
unknown function	phrog_92854	NA	
unknown function	phrog_92855	NA	
unknown function	phrog_92856	NA	
unknown function	phrog_92857	NA	
unknown function	phrog_92858	NA	
unknown function	phrog_92859	NA	
unknown function	phrog_92860	NA	
unknown function	phrog_92861	NA	
unknown function	phrog_92862	NA	
unknown function	phrog_92863	NA	
unknown function	phrog_92864	NA	
unknown function	phrog_92865	NA	
unknown function	phrog_92866	NA	
unknown function	phrog_92867	NA	
unknown function	phrog_92868	NA	
unknown function	phrog_92869	NA	
unknown function	phrog_92870	NA	
unknown function	phrog_92871	NA	
unknown function	phrog_92872	NA	
unknown function	phrog_92873	NA	
unknown function	phrog_92874	NA	
unknown function	phrog_92875	NA	
unknown function	phrog_92876	NA	
unknown function	phrog_92877	NA	
unknown function	phrog_92878	NA	
unknown function	phrog_92879	NA	
unknown function	phrog_92880	NA	
unknown function	phrog_92881	NA	
unknown function	phrog_92882	NA	
unknown function	phrog_92883	NA	
unknown function	phrog_92884	NA	
unknown function	phrog_92885	NA	
unknown function	phrog_92886	NA	
unknown function	phrog_92887	NA	
unknown function	phrog_92888	NA	
unknown function	phrog_92889	NA	
unknown function	phrog_92890	NA	
unknown function	phrog_92891	NA	
unknown function	phrog_92892	NA	
unknown function	phrog_92893	NA	
unknown function	phrog_92894	NA	
unknown function	phrog_92895	NA	
unknown function	phrog_92896	NA	
unknown function	phrog_92897	NA	
unknown function	phrog_92898	NA	
unknown function	phrog_92899	NA	
unknown function	phrog_92900	NA	
unknown function	phrog_92901	NA	
unknown function	phrog_92902	NA	
unknown function	phrog_92903	NA	
unknown function	phrog_92904	NA	
unknown function	phrog_92905	NA	
unknown function	phrog_92906	NA	
unknown function	phrog_92907	NA	
unknown function	phrog_92908	NA	
unknown function	phrog_92909	NA	
unknown function	phrog_92910	NA	
unknown function	phrog_92911	NA	
unknown function	phrog_92912	NA	
unknown function	phrog_92913	NA	
unknown function	phrog_92914	NA	
unknown function	phrog_92915	NA	
unknown function	phrog_92916	NA	
unknown function	phrog_92917	NA	
unknown function	phrog_92918	NA	
unknown function	phrog_92919	NA	
unknown function	phrog_92920	NA	
unknown function	phrog_92921	NA	
unknown function	phrog_92922	NA	
unknown function	phrog_92923	NA	
unknown function	phrog_92924	NA	
unknown function	phrog_92925	NA	
unknown function	phrog_92926	NA	
unknown function	phrog_92927	NA	
unknown function	phrog_92928	NA	
unknown function	phrog_92929	NA	
unknown function	phrog_92930	NA	
unknown function	phrog_92931	NA	
unknown function	phrog_92932	NA	
unknown function	phrog_92933	NA	
unknown function	phrog_92934	NA	
unknown function	phrog_92935	NA	
unknown function	phrog_92936	NA	
unknown function	phrog_92937	NA	
unknown function	phrog_92938	NA	
unknown function	phrog_92939	NA	
unknown function	phrog_92940	NA	
unknown function	phrog_92941	NA	
unknown function	phrog_92942	NA	
unknown function	phrog_92943	NA	
unknown function	phrog_92944	NA	
unknown function	phrog_92945	NA	
unknown function	phrog_92946	NA	
unknown function	phrog_92947	NA	
unknown function	phrog_92948	NA	
unknown function	phrog_92949	NA	
unknown function	phrog_92950	NA	
unknown function	phrog_92951	NA	
unknown function	phrog_92952	NA	
unknown function	phrog_92953	NA	
unknown function	phrog_92954	NA	
unknown function	phrog_92955	NA	
unknown function	phrog_92956	NA	
unknown function	phrog_92957	NA	
unknown function	phrog_92958	NA	
unknown function	phrog_92959	NA	
unknown function	phrog_92960	NA	
unknown function	phrog_92961	NA	
unknown function	phrog_92962	NA	
unknown function	phrog_92963	NA	
unknown function	phrog_92964	NA	
unknown function	phrog_92965	NA	
unknown function	phrog_92966	NA	
unknown function	phrog_92967	NA	
unknown function	phrog_92968	NA	
unknown function	phrog_92969	NA	
unknown function	phrog_92970	NA	
unknown function	phrog_92971	NA	
unknown function	phrog_92972	NA	
unknown function	phrog_92973	NA	
unknown function	phrog_92974	NA	
unknown function	phrog_92975	NA	
unknown function	phrog_92976	NA	
unknown function	phrog_92977	NA	
unknown function	phrog_92978	NA	
unknown function	phrog_92979	NA	
unknown function	phrog_92980	NA	
unknown function	phrog_92981	NA	
unknown function	phrog_92982	NA	
unknown function	phrog_92983	NA	
unknown function	phrog_92984	NA	
unknown function	phrog_92985	NA	
unknown function	phrog_92986	NA	
unknown function	phrog_92987	NA	
unknown function	phrog_92988	NA	
unknown function	phrog_92989	NA	
unknown function	phrog_92990	NA	
unknown function	phrog_92991	NA	
unknown function	phrog_92992	NA	
unknown function	phrog_92993	NA	
unknown function	phrog_92994	NA	
unknown function	phrog_92995	NA	
unknown function	phrog_92996	NA	
unknown function	phrog_92997	NA	
unknown function	phrog_92998	NA	
unknown function	phrog_92999	NA	
unknown function	phrog_93000	NA	
unknown function	phrog_93001	NA	
unknown function	phrog_93002	NA	
unknown function	phrog_93003	NA	
unknown function	phrog_93004	NA	
unknown function	phrog_93005	NA	
unknown function	phrog_93006	NA	
unknown function	phrog_93007	NA	
unknown function	phrog_93008	NA	
unknown function	phrog_93009	NA	
unknown function	phrog_93010	NA	
unknown function	phrog_93011	NA	
unknown function	phrog_93012	NA	
unknown function	phrog_93013	NA	
unknown function	phrog_93014	NA	
unknown function	phrog_93015	NA	
unknown function	phrog_93016	NA	
unknown function	phrog_93017	NA	
unknown function	phrog_93018	NA	
unknown function	phrog_93019	NA	
unknown function	phrog_93020	NA	
unknown function	phrog_93021	NA	
unknown function	phrog_93022	NA	
unknown function	phrog_93023	NA	
unknown function	phrog_93024	NA	
unknown function	phrog_93025	NA	
unknown function	phrog_93026	NA	
unknown function	phrog_93027	NA	
unknown function	phrog_93028	NA	
unknown function	phrog_93029	NA	
unknown function	phrog_93030	NA	
unknown function	phrog_93031	NA	
unknown function	phrog_93032	NA	
unknown function	phrog_93033	NA	
unknown function	phrog_93034	NA	
unknown function	phrog_93035	NA	
unknown function	phrog_93036	NA	
unknown function	phrog_93037	NA	
unknown function	phrog_93038	NA	
unknown function	phrog_93039	NA	
unknown function	phrog_93040	NA	
unknown function	phrog_93041	NA	
unknown function	phrog_93042	NA	
unknown function	phrog_93043	NA	
unknown function	phrog_93044	NA	
unknown function	phrog_93045	NA	
unknown function	phrog_93046	NA	
unknown function	phrog_93047	NA	
unknown function	phrog_93048	NA	
unknown function	phrog_93049	NA	
unknown function	phrog_93050	NA	
unknown function	phrog_93051	NA	
unknown function	phrog_93052	NA	
unknown function	phrog_93053	NA	
unknown function	phrog_93054	NA	
unknown function	phrog_93055	NA	
unknown function	phrog_93056	NA	
unknown function	phrog_93057	NA	
unknown function	phrog_93058	NA	
unknown function	phrog_93059	NA	
unknown function	phrog_93060	NA	
unknown function	phrog_93061	NA	
unknown function	phrog_93062	NA	
unknown function	phrog_93063	NA	
unknown function	phrog_93064	NA	
other	phrog_93065	ATP-dependent protease	
unknown function	phrog_93066	NA	
unknown function	phrog_93067	NA	
unknown function	phrog_93068	NA	
unknown function	phrog_93069	NA	
unknown function	phrog_93070	NA	
unknown function	phrog_93071	NA	
unknown function	phrog_93072	NA	
unknown function	phrog_93073	NA	
unknown function	phrog_93074	NA	
unknown function	phrog_93075	NA	
unknown function	phrog_93076	NA	
unknown function	phrog_93077	NA	
unknown function	phrog_93078	NA	
unknown function	phrog_93079	NA	
unknown function	phrog_93080	NA	
unknown function	phrog_93081	NA	
unknown function	phrog_93082	NA	
unknown function	phrog_93083	NA	
unknown function	phrog_93084	NA	
unknown function	phrog_93085	NA	
unknown function	phrog_93086	NA	
unknown function	phrog_93087	NA	
unknown function	phrog_93088	NA	
unknown function	phrog_93089	NA	
unknown function	phrog_93090	NA	
unknown function	phrog_93091	NA	
unknown function	phrog_93092	NA	
unknown function	phrog_93093	NA	
unknown function	phrog_93094	NA	
unknown function	phrog_93095	NA	
unknown function	phrog_93096	NA	
unknown function	phrog_93097	NA	
unknown function	phrog_93098	NA	
unknown function	phrog_93099	NA	
unknown function	phrog_93100	NA	
unknown function	phrog_93101	NA	
unknown function	phrog_93102	NA	
unknown function	phrog_93103	NA	
unknown function	phrog_93104	NA	
unknown function	phrog_93105	NA	
unknown function	phrog_93106	NA	
unknown function	phrog_93107	NA	
unknown function	phrog_93108	NA	
unknown function	phrog_93109	NA	
unknown function	phrog_93110	NA	
unknown function	phrog_93111	NA	
unknown function	phrog_93112	NA	
unknown function	phrog_93113	NA	
unknown function	phrog_93114	NA	
unknown function	phrog_93115	NA	
unknown function	phrog_93116	NA	
unknown function	phrog_93117	NA	
unknown function	phrog_93118	NA	
unknown function	phrog_93119	NA	
unknown function	phrog_93120	NA	
unknown function	phrog_93121	NA	
unknown function	phrog_93122	NA	
unknown function	phrog_93123	NA	
unknown function	phrog_93124	NA	
unknown function	phrog_93125	NA	
unknown function	phrog_93126	NA	
unknown function	phrog_93127	NA	
unknown function	phrog_93128	NA	
unknown function	phrog_93129	NA	
unknown function	phrog_93130	NA	
unknown function	phrog_93131	NA	
unknown function	phrog_93132	NA	
unknown function	phrog_93133	NA	
unknown function	phrog_93134	NA	
unknown function	phrog_93135	NA	
unknown function	phrog_93136	NA	
unknown function	phrog_93137	NA	
unknown function	phrog_93138	NA	
unknown function	phrog_93139	NA	
unknown function	phrog_93140	NA	
unknown function	phrog_93141	NA	
unknown function	phrog_93142	NA	
unknown function	phrog_93143	NA	
unknown function	phrog_93144	NA	
unknown function	phrog_93145	NA	
unknown function	phrog_93146	NA	
unknown function	phrog_93147	NA	
unknown function	phrog_93148	NA	
unknown function	phrog_93149	NA	
unknown function	phrog_93150	NA	
unknown function	phrog_93151	NA	
unknown function	phrog_93152	NA	
unknown function	phrog_93153	NA	
unknown function	phrog_93154	NA	
unknown function	phrog_93155	NA	
unknown function	phrog_93156	NA	
unknown function	phrog_93157	NA	
unknown function	phrog_93158	NA	
unknown function	phrog_93159	NA	
unknown function	phrog_93160	NA	
unknown function	phrog_93161	NA	
unknown function	phrog_93162	NA	
unknown function	phrog_93163	NA	
unknown function	phrog_93164	NA	
unknown function	phrog_93165	NA	
unknown function	phrog_93166	NA	
unknown function	phrog_93167	NA	
unknown function	phrog_93168	NA	
unknown function	phrog_93169	NA	
unknown function	phrog_93170	NA	
unknown function	phrog_93171	NA	
unknown function	phrog_93172	NA	
unknown function	phrog_93173	NA	
unknown function	phrog_93174	NA	
unknown function	phrog_93175	NA	
unknown function	phrog_93176	NA	
unknown function	phrog_93177	NA	
unknown function	phrog_93178	NA	
unknown function	phrog_93179	NA	
DNA, RNA and nucleotide metabolism	phrog_93180	HTH DNA binding protein	
unknown function	phrog_93181	NA	
unknown function	phrog_93182	NA	
unknown function	phrog_93183	NA	
unknown function	phrog_93184	NA	
unknown function	phrog_93185	NA	
unknown function	phrog_93186	NA	
unknown function	phrog_93187	NA	
unknown function	phrog_93188	NA	
unknown function	phrog_93189	NA	
unknown function	phrog_93190	NA	
unknown function	phrog_93191	NA	
unknown function	phrog_93192	NA	
unknown function	phrog_93193	NA	
unknown function	phrog_93194	NA	
unknown function	phrog_93195	NA	
unknown function	phrog_93196	NA	
unknown function	phrog_93197	NA	
unknown function	phrog_93198	NA	
unknown function	phrog_93199	NA	
unknown function	phrog_93200	NA	
unknown function	phrog_93201	NA	
unknown function	phrog_93202	NA	
unknown function	phrog_93203	NA	
unknown function	phrog_93204	NA	
unknown function	phrog_93205	NA	
unknown function	phrog_93206	NA	
unknown function	phrog_93207	NA	
unknown function	phrog_93208	NA	
unknown function	phrog_93209	NA	
unknown function	phrog_93210	NA	
unknown function	phrog_93211	NA	
unknown function	phrog_93212	NA	
unknown function	phrog_93213	NA	
unknown function	phrog_93214	NA	
unknown function	phrog_93215	NA	
unknown function	phrog_93216	NA	
unknown function	phrog_93217	NA	
unknown function	phrog_93218	NA	
unknown function	phrog_93219	NA	
unknown function	phrog_93220	NA	
unknown function	phrog_93221	NA	
unknown function	phrog_93222	NA	
unknown function	phrog_93223	NA	
unknown function	phrog_93224	NA	
unknown function	phrog_93225	NA	
unknown function	phrog_93226	NA	
unknown function	phrog_93227	NA	
unknown function	phrog_93228	NA	
unknown function	phrog_93229	NA	
unknown function	phrog_93230	NA	
unknown function	phrog_93231	NA	
unknown function	phrog_93232	NA	
unknown function	phrog_93233	NA	
unknown function	phrog_93234	NA	
unknown function	phrog_93235	NA	
unknown function	phrog_93236	NA	
unknown function	phrog_93237	NA	
unknown function	phrog_93238	NA	
unknown function	phrog_93239	NA	
unknown function	phrog_93240	NA	
unknown function	phrog_93241	NA	
unknown function	phrog_93242	NA	
unknown function	phrog_93243	NA	
unknown function	phrog_93244	NA	
unknown function	phrog_93245	NA	
unknown function	phrog_93246	NA	
unknown function	phrog_93247	NA	
unknown function	phrog_93248	NA	
unknown function	phrog_93249	NA	
unknown function	phrog_93250	NA	
unknown function	phrog_93251	NA	
unknown function	phrog_93252	NA	
unknown function	phrog_93253	NA	
unknown function	phrog_93254	NA	
unknown function	phrog_93255	NA	
unknown function	phrog_93256	NA	
unknown function	phrog_93257	NA	
unknown function	phrog_93258	NA	
unknown function	phrog_93259	NA	
unknown function	phrog_93260	NA	
unknown function	phrog_93261	NA	
unknown function	phrog_93262	NA	
unknown function	phrog_93263	NA	
unknown function	phrog_93264	NA	
unknown function	phrog_93265	NA	
unknown function	phrog_93266	NA	
unknown function	phrog_93267	NA	
